bet09_value,n_rows,n_b14_null,n_b13_null,n_b13_zero,n_pnl_zero_stake_pos,n_exact_refund,pct_pnl_zero,stake_sum,verdict_contamination,audit_rn,batch_id
Banker,46822113,0,0,0,4439480,4439480,9.481588,330779501341.07,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,1,1
Player,44221794,0,0,0,4193998,4193998,9.484007,323804267734.07,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,2,1
BankerDragonBonus,206969,0,0,0,3741,3741,1.807517,23020560.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,3,1
PlayerDragonBonus,176728,0,0,0,3158,3158,1.786927,29047631.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,4,1
BankerNatural,62174,0,0,0,1159,1159,1.864123,21859428.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,5,1
PlayerNatural,54940,0,0,0,968,968,1.761922,30112276.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,6,1
Tie,9642347,0,0,0,75,75,0.000778,6315860341.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,7,1
BPair,5908587,0,0,0,48,48,0.000812,4638471961.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,8,1
PPair,5764241,0,0,0,47,47,0.000815,4645254815.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,9,1
Super6,4644658,0,0,0,40,40,0.000861,2746796241.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10,1
Lucky7,4378264,0,0,0,32,32,0.000731,1871764344.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,11,1
SuperLucky7,3152754,0,0,0,31,31,0.000983,406361546.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,12,1
PerfectPair,355785,0,0,0,3,3,0.000843,941845981.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,13,1
AnyPair,154078,0,0,0,2,2,0.001298,545286369.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,14,1
Big,80722,0,0,0,1,1,0.001239,99864007.67,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,15,1
Small,22986,0,0,0,1,1,0.004351,15196355.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,16,1
Bear8,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,17,1
Lucky7TwoCard,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,18,1
SmallTiger,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,19,1
SuperTie4,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,20,1
SuperTie5,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,21,1
SuperTie8,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,22,1
SuperTie9,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,23,1
