scope,row_key,field,v1.5.003,v1.5.004,verdict,judgement
YAML_LINE,3,registry.version,version: 1.5.003,version: 1.5.004,MODIFIED,身份递增
YAML_LINE,5,registry.issued,issued: '2026-09-03',issued: '2026-09-03',UNCHANGED_VALUE,同日签发
YAML_LINE,18,registry.version_semver,version_semver: 1.5.3,version_semver: 1.5.4,MODIFIED,随身份递增
YAML_LINE,19,registry.version_note,  version_note: 身份名 1.5.003 为唯一权威；version_semver 仅供 git tag / renv 等须 SemVer …,  version_note: 身份名 1.5.004 为唯一权威；version_semver 仅供 git tag / renv 等须 SemVer …,MODIFIED,身份名递增
YAML_LINE,21,registry.parent.version,version: 1.5.002,version: 1.5.003,MODIFIED,父版改指 v1.5.003
YAML_LINE,22,registry.parent.yaml_md5,yaml_md5: b396a762a2d1079f7bfbfdf6f5176f4f,yaml_md5: fbf6462cf36e70ef92efe8f40db50296,MODIFIED,自盘上实读
YAML_LINE,23,registry.parent.csv_md5,csv_md5: deedd98255bd7a70fe9b25375ae07ddd,csv_md5: deedd98255bd7a70fe9b25375ae07ddd,MODIFIED,自盘上实读
YAML_LINE,24,registry.parent.yaml_bytes,yaml_bytes: 365791,yaml_bytes: 369218,MODIFIED,自盘上实读
YAML_LINE,25,registry.parent.csv_bytes,csv_bytes: 57961,csv_bytes: 57961,MODIFIED,自盘上实读
YAML_LINE,6,registry.revision_note,"  revision_note: ""v1.1.0：原 candidates 五项（多账户共享设备／机器人脚本／夜间异常／限红试探／静默复活） 全部提升为正…","  revision_note: ""v1.1.0：原 candidates 五项（多账户共享设备／机器人脚本／夜间异常／限红试探／静默复活） 全部提升为正…",APPENDED,补 v1.5.004 条目（原文未删）
YAML_LINE,OQ 段末,open_questions,OQ-01..OQ-12（12 条）,OQ-01..OQ-14（14 条）,ADDED,✓ 只增：既有 12 条一字未改
YAML_SECTION,tail,id_namespace_registry,(不存在),新增,ADDED,✓ 只增（补编号纪律空白）
YAML_SECTION,tail,v1_5_004_upgrade,(不存在),新增,ADDED,✓ 只增
YAML_TYPOLOGY_BLOCKS,T-01..T-15,*,逐字节保留,逐字节保留,UNCHANGED,✓
CSV,*,*,deedd98255bd7a70fe9b25375ae07ddd,deedd98255bd7a70fe9b25375ae07ddd,IDENTICAL,✓ 与父版逐字节相同
