file,line,raw,normalized,context
G23_CONTRACT_CONFLICT_REGISTER_v1.md,8,"18,109",18109,"| 字节 · 行数 | 18,109 · 210（`wc -l` ≡ `grep -c ''`） |"
G23_CONTRACT_CONFLICT_REGISTER_v1.md,8,210,210,"| 字节 · 行数 | 18,109 · 210（`wc -l` ≡ `grep -c ''`） |"
G23_CONTRACT_CONFLICT_REGISTER_v1.md,9,919,919,| MD5 | `919bd2ccea4cd5b309c82293ccbe7a4e` |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,11,8,8,| 行尾 · 编码 | LF · UTF-8 无 BOM |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,13,31,31,| 栏数（parser-derived） | 处置账 **31**（NOT NULL 14）／结果账 **23**（NOT NULL 11）
G23_CONTRACT_CONFLICT_REGISTER_v1.md,13,14,14,数（parser-derived） | 处置账 **31**（NOT NULL 14）／结果账 **23**（NOT NULL 11） |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,13,23,23,erived） | 处置账 **31**（NOT NULL 14）／结果账 **23**（NOT NULL 11） |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,13,11,11,**31**（NOT NULL 14）／结果账 **23**（NOT NULL 11） |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,14,0,0,| **未匹配之非注释行** | **0 / 0** — 此为该解析器之可证伪点；若非零则计数不成立 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,14,0,0,| **未匹配之非注释行** | **0 / 0** — 此为该解析器之可证伪点；若非零则计数不成立 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,17,31,31,> **状态：PROVISIONAL。** 依裁示 §一，`31 / 23` 在先生复算之前不盖 E1 印。
G23_CONTRACT_CONFLICT_REGISTER_v1.md,17,23,23,> **状态：PROVISIONAL。** 依裁示 §一，`31 / 23` 在先生复算之前不盖 E1 印。
G23_CONTRACT_CONFLICT_REGISTER_v1.md,18,007,7,> `SC-007` 已登记：本登记册初版所附解析器返回 `0 / 0`，正确数字系由兜底分支凑出
G23_CONTRACT_CONFLICT_REGISTER_v1.md,18,0,0,> `SC-007` 已登记：本登记册初版所附解析器返回 `0 / 0`，正确数字系由兜底分支凑出；
G23_CONTRACT_CONFLICT_REGISTER_v1.md,18,0,0,> `SC-007` 已登记：本登记册初版所附解析器返回 `0 / 0`，正确数字系由兜底分支凑出；
G23_CONTRACT_CONFLICT_REGISTER_v1.md,41,01,1,### CC-01 · `executed_at`
G23_CONTRACT_CONFLICT_REGISTER_v1.md,47,188,188,| 最小必填十二项 | **在列** | L187–188 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,48,159,159,ided_at`。**决定了而未执行者，其对象须留在对照侧**」 | L157–159 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,72,02,2,### CC-02 · `is_reversible`
G23_CONTRACT_CONFLICT_REGISTER_v1.md,76,1,1,| DDL | `TINYINT NOT NULL`，值域 1/0 | L61 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,76,0,0,| DDL | `TINYINT NOT NULL`，值域 1/0 | L61 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,77,1,1,| 注释 | 「可否回滚：1 可 / 0 不可。★ **不可回滚者须双人复核**」 | L61 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,77,0,0,| 注释 | 「可否回滚：1 可 / 0 不可。★ **不可回滚者须双人复核**」 | L61 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,78,188,188,| 最小必填十二项 | **不在列** | L187–188 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,79,0,0,ction_layer='ACCOUNT'` 且 `is_reversible=0` 者，`review_required` 必为 1 且 `reviewed_b
G23_CONTRACT_CONFLICT_REGISTER_v1.md,79,1,1,is_reversible=0` 者，`review_required` 必为 1 且 `reviewed_by`、`reviewed_by2` 皆不得为空」 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,79,110,110,viewed_by`、`reviewed_by2` 皆不得为空」 | L109–110 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,99,03,3,### CC-03 · `review_required`
G23_CONTRACT_CONFLICT_REGISTER_v1.md,104,1,1,| 注释 | 「是否须人工复核：1 是 / 0 否。★ **涉个体处置一律为 1**」 | L77 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,104,0,0,| 注释 | 「是否须人工复核：1 是 / 0 否。★ **涉个体处置一律为 1**」 | L77 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,104,1,1,| 注释 | 「是否须人工复核：1 是 / 0 否。★ **涉个体处置一律为 1**」 | L77 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,105,188,188,| 最小必填十二项 | **不在列** | L187–188 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,107,02,2,**冲突性质**：同 CC-02。
G23_CONTRACT_CONFLICT_REGISTER_v1.md,109,1,1,**一条可消解之观察（待核）**：注释「涉个体处置一律为 1」——
G23_CONTRACT_CONFLICT_REGISTER_v1.md,115,04,4,### CC-04 · `trigger_source`
G23_CONTRACT_CONFLICT_REGISTER_v1.md,119,32,32,| DDL | `VARCHAR(32) NOT NULL` | L64 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,121,188,188,| 最小必填十二项 | **不在列** | L187–188 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,122,67,67,_score` / `trigger_thr` | 皆**可空** | L65–67 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,124,02,2,**冲突性质**：同 CC-02，但此栏**不可派生**——
G23_CONTRACT_CONFLICT_REGISTER_v1.md,142,01,1,| CC-01 | `executed_at` | 须设 | 可空 | 不要求 | **要求**
G23_CONTRACT_CONFLICT_REGISTER_v1.md,143,02,2,| CC-02 | `is_reversible` | 待裁 | NOT NULL | 待裁 |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,144,03,3,| CC-03 | `review_required` | 待裁 | NOT NULL | 待裁
G23_CONTRACT_CONFLICT_REGISTER_v1.md,145,04,4,| CC-04 | `trigger_source` | 须设 | NOT NULL | 要求
G23_CONTRACT_CONFLICT_REGISTER_v1.md,153,01,1,对 CC-01 ～ CC-04 各择其一：
G23_CONTRACT_CONFLICT_REGISTER_v1.md,153,04,4,对 CC-01 ～ CC-04 各择其一：
G23_CONTRACT_CONFLICT_REGISTER_v1.md,155,1,1,1. **V1 保持原样** —— 承认 A 与 B 不等，并正名 L186「必填
G23_CONTRACT_CONFLICT_REGISTER_v1.md,156,2,2,2. **V1 修订** —— 改 DDL 或改十二项清单，须走变更闸并重算六元组
G23_CONTRACT_CONFLICT_REGISTER_v1.md,157,3,3,3. **V2 Change Request** —— 本轮不动，登记为下版待议
G23_CONTRACT_CONFLICT_REGISTER_v1.md,159,01,1,**本册倾向**：CC-01 取①（改称谓即可，改 DDL 反而毁掉 Decision≠Execution）；
G23_CONTRACT_CONFLICT_REGISTER_v1.md,160,04,4,CC-04 取②或③（`trigger_source` 不可派生，A 层缺它则该笔无法入库，
G23_CONTRACT_CONFLICT_REGISTER_v1.md,161,02,2,CC-02／CC-03 **须先取得两项外部事实方可裁**——
G23_CONTRACT_CONFLICT_REGISTER_v1.md,161,03,3,CC-02／CC-03 **须先取得两项外部事实方可裁**——
G23_CONTRACT_CONFLICT_REGISTER_v1.md,174,138,138,| `fx_ref` | 本方提议 | 规格无对应；结果账金额栏（L134–138）未言币种口径，或为独立缺口 | V2 CR |
G23_CONTRACT_CONFLICT_REGISTER_v1.md,184,1,1,- `REBATE_UP` —— 已更正为条件闸（门槛 `ρ/(1−κ)=2.59%`），非永久禁用；不属本册冲突项
G23_CONTRACT_CONFLICT_REGISTER_v1.md,184,2.59%,0.0259,- `REBATE_UP` —— 已更正为条件闸（门槛 `ρ/(1−κ)=2.59%`），非永久禁用；不属本册冲突项
G23_FREEFORM_时间保全留痕单.md,1,23,23,# G-23 · FREEFORM 时间保全留痕单
G23_FREEFORM_时间保全留痕单.md,11,23,23,一张纸／一条讯息／一个工单，保住「某时某人对某对象做了某事及其理由」 | G-23 正式录入 |
G23_FREEFORM_时间保全留痕单.md,21,01,1,在 SSOT `建账规格_v1.sql` 中语义与约束**皆已确定、不涉 CC-01~04 冲突**；第七项是本单自设的降级标记。
G23_FREEFORM_时间保全留痕单.md,21,04,4,SOT `建账规格_v1.sql` 中语义与约束**皆已确定、不涉 CC-01~04 冲突**；第七项是本单自设的降级标记。
G23_FREEFORM_时间保全留痕单.md,25,1,1,| 1 | **何时决定的** | `decided_at` | L48 | 年月日时分
G23_FREEFORM_时间保全留痕单.md,26,2,2,| 2 | **谁决定的** | `decided_by` | L47 | 工号或姓名；
G23_FREEFORM_时间保全留痕单.md,27,3,3,| 3 | **对谁／对什么** | `entity_type` + `entity_i
G23_FREEFORM_时间保全留痕单.md,27,55,55,么** | `entity_type` + `entity_id` | L54–55 | 类别取 MEMBER／DEALER／AGENT／TABLE／GLOBAL 之
G23_FREEFORM_时间保全留痕单.md,28,4,4,| 4 | **做了什么** | `action_type` | L96–108 | 取
G23_FREEFORM_时间保全留痕单.md,28,108,108,| 4 | **做了什么** | `action_type` | L96–108 | 取 11 值之一（见下表）；不在表内者**照实写中文原话**，勿自造英文代码
G23_FREEFORM_时间保全留痕单.md,28,11,11,**做了什么** | `action_type` | L96–108 | 取 11 值之一（见下表）；不在表内者**照实写中文原话**，勿自造英文代码 |
G23_FREEFORM_时间保全留痕单.md,29,5,5,| 5 | **哪一层** | `action_layer` | L60 | PRODU
G23_FREEFORM_时间保全留痕单.md,30,6,6,| 6 | **为什么** | `reason_text` | L68 | **原话照录
G23_FREEFORM_时间保全留痕单.md,31,7,7,| 7 | **何时生效** | `executed_at` | L50 | 已生效者记
G23_FREEFORM_时间保全留痕单.md,33,4,4,### 第 4 项之 11 值（SSOT L96–108 原文）
G23_FREEFORM_时间保全留痕单.md,33,11,11,### 第 4 项之 11 值（SSOT L96–108 原文）
G23_FREEFORM_时间保全留痕单.md,33,108,108,### 第 4 项之 11 值（SSOT L96–108 原文）
G23_FREEFORM_时间保全留痕单.md,42,2.59%,0.0259,SETTLE | `REBATE_UP` | 退水上浮 γ*（须先过净贡献门槛 2.59%，否则等于替亏损加码）|
G23_FREEFORM_时间保全留痕单.md,55,02,2,| `is_reversible` | CC-02 待业务确认（SETTLE 四动作可否回滚）。**该记什么值尚不明，猜一个即造数据
G23_FREEFORM_时间保全留痕单.md,56,03,3,| `review_required` | CC-03 待业务确认（「涉个体处置」之定义）。同上 |
G23_FREEFORM_时间保全留痕单.md,59,04,4,| `trigger_source` | CC-04 待裁其是否必填。值域虽已定，但记与不记会影响日后回填时的完整性判定；**若现场随
G23_FREEFORM_时间保全留痕单.md,59,6,6,值域虽已定，但记与不记会影响日后回填时的完整性判定；**若现场随手可知，记在第 6 项「为什么」里即可**，不另立栏 |
G23_FREEFORM_时间保全留痕单.md,69,005,5,*SSOT 原生录入，须永久可辨。若日后有人把回填件当原生数据用，即是 `SC-005` 之重演。
G23_FREEFORM_时间保全留痕单.md,77,2026,2026,决定 2026-08-15 14:20 ｜ 风控专员甲
G23_FREEFORM_时间保全留痕单.md,77,08,8,决定 2026-08-15 14:20 ｜ 风控专员甲
G23_FREEFORM_时间保全留痕单.md,77,15,15,决定 2026-08-15 14:20 ｜ 风控专员甲
G23_FREEFORM_时间保全留痕单.md,77,14,14,决定 2026-08-15 14:20 ｜ 风控专员甲
G23_FREEFORM_时间保全留痕单.md,77,20,20,决定 2026-08-15 14:20 ｜ 风控专员甲
G23_FREEFORM_时间保全留痕单.md,78,10045821,10045821,对象 MEMBER 10045821
G23_FREEFORM_时间保全留痕单.md,80,0.80,0.8,理由 该会员近七日靴末段(shoe_pos>=0.80)注额陡增，Z=4.37，超 BH 门槛；
G23_FREEFORM_时间保全留痕单.md,80,4.37,4.37,理由 该会员近七日靴末段(shoe_pos>=0.80)注额陡增，Z=4.37，超 BH 门槛；
G23_FREEFORM_时间保全留痕单.md,82,2026,2026,生效 2026-08-15 15:00
G23_FREEFORM_时间保全留痕单.md,82,08,8,生效 2026-08-15 15:00
G23_FREEFORM_时间保全留痕单.md,82,15,15,生效 2026-08-15 15:00
G23_FREEFORM_时间保全留痕单.md,82,15,15,生效 2026-08-15 15:00
G23_FREEFORM_时间保全留痕单.md,82,00,0,生效 2026-08-15 15:00
G23_三方逐栏对照矩阵_v1.md,1,23,23,# G-23 三方逐栏对照矩阵 · v1
G23_三方逐栏对照矩阵_v1.md,8,"18,109",18109,"| 字节 | 18,109 |"
G23_三方逐栏对照矩阵_v1.md,9,210,210,| 行数 | 210（`wc -l` ≡ `grep -c ''`，末行有换行）|
G23_三方逐栏对照矩阵_v1.md,10,919,919,| MD5 | `919bd2ccea4cd5b309c82293ccbe7a4e` |
G23_三方逐栏对照矩阵_v1.md,12,8,8,| 行尾 · 编码 | LF · UTF-8 无 BOM |
G23_三方逐栏对照矩阵_v1.md,15,31,31,**栏数由 DDL 对象现算，不引注释所写之数**：处置账 **31** 栏（NOT NULL 14）／结果账 **23** 栏（NOT NULL
G23_三方逐栏对照矩阵_v1.md,15,14,14,L 对象现算，不引注释所写之数**：处置账 **31** 栏（NOT NULL 14）／结果账 **23** 栏（NOT NULL 11）。
G23_三方逐栏对照矩阵_v1.md,15,23,23,释所写之数**：处置账 **31** 栏（NOT NULL 14）／结果账 **23** 栏（NOT NULL 11）。
G23_三方逐栏对照矩阵_v1.md,15,11,11,** 栏（NOT NULL 14）／结果账 **23** 栏（NOT NULL 11）。
G23_三方逐栏对照矩阵_v1.md,17,006,6,> **`SC-006`**｜我上一轮目测报「29 / 20」，现算为「31 / 23」。计数未经现算
G23_三方逐栏对照矩阵_v1.md,17,29,29,> **`SC-006`**｜我上一轮目测报「29 / 20」，现算为「31 / 23」。计数未经现算即上报，正犯裁示所立「静态计数
G23_三方逐栏对照矩阵_v1.md,17,20,20,> **`SC-006`**｜我上一轮目测报「29 / 20」，现算为「31 / 23」。计数未经现算即上报，正犯裁示所立「静态计数不得当证
G23_三方逐栏对照矩阵_v1.md,17,31,31,> **`SC-006`**｜我上一轮目测报「29 / 20」，现算为「31 / 23」。计数未经现算即上报，正犯裁示所立「静态计数不得当证据」。结论方向未变
G23_三方逐栏对照矩阵_v1.md,17,23,23,**`SC-006`**｜我上一轮目测报「29 / 20」，现算为「31 / 23」。计数未经现算即上报，正犯裁示所立「静态计数不得当证据」。结论方向未变（表单对
G23_三方逐栏对照矩阵_v1.md,25,12,12,| DDL 有而 12 项无 | `is_reversible` `review_required` `
G23_三方逐栏对照矩阵_v1.md,25,12,12,T NULL，却不在最小起步集 | 起步阶段可否留空？若可，DDL 须改；若否，12 项应为 15 项 |
G23_三方逐栏对照矩阵_v1.md,25,15,15,却不在最小起步集 | 起步阶段可否留空？若可，DDL 须改；若否，12 项应为 15 项 |
G23_三方逐栏对照矩阵_v1.md,26,12,12,| 12 项有而 DDL 无 | `executed_at` | 列入最小必填，DDL 却
G23_三方逐栏对照矩阵_v1.md,26,12,12,账「未执行者不产出结果行」皆指向**可空为正**（决定而未执行者留空）。若如此，12 项之「必填」应改称「表单须设此栏」，非「不得为空」 |
G23_三方逐栏对照矩阵_v1.md,28,12,12,**此二者语义不同**：DDL 之 NOT NULL 是**入库约束**，12 项是**表单栏位清单**。两名混用即生歧义。
G23_三方逐栏对照矩阵_v1.md,32,31,31,## 二 · 处置账 `a168_treatment_ledger` · 31 栏
G23_三方逐栏对照矩阵_v1.md,34,12,12,| # | 字段 | 原文行 | 类型 | DDL NN | 在 12 必填 | 枚举 | 语义（注释原文） | 裁示版对应 | Evidence |
G23_三方逐栏对照矩阵_v1.md,36,1,1,| 1 | `tl_id` | L44 | VARCHAR(64) | ✅ | ✅ |
G23_三方逐栏对照矩阵_v1.md,36,64,64,| 1 | `tl_id` | L44 | VARCHAR(64) | ✅ | ✅ | — | 处置流水号，全局唯一（建议 UUID 或 日期+
G23_三方逐栏对照矩阵_v1.md,37,2,2,| 2 | `decided_by` | L47 | VARCHAR(64) | ✅ |
G23_三方逐栏对照矩阵_v1.md,37,64,64,| 2 | `decided_by` | L47 | VARCHAR(64) | ✅ | ✅ | — | 决定人工号；自动执行者记 SYSTEM | `c
G23_三方逐栏对照矩阵_v1.md,38,3,3,| 3 | `decided_at` | L48 | DATETIME | ✅ | ✅
G23_三方逐栏对照矩阵_v1.md,39,4,4,| 4 | `executed_by` | L49 | VARCHAR(64) |  |
G23_三方逐栏对照矩阵_v1.md,39,64,64,| 4 | `executed_by` | L49 | VARCHAR(64) |  |  | — | 执行人工号；未执行者留空 | `created_by
G23_三方逐栏对照矩阵_v1.md,40,5,5,| 5 | `executed_at` | L50 | DATETIME |  | ✅
G23_三方逐栏对照矩阵_v1.md,41,6,6,| 6 | `reverted_at` | L51 | DATETIME |  |  |
G23_三方逐栏对照矩阵_v1.md,42,7,7,| 7 | `entity_type` | L54 | VARCHAR(16) | ✅
G23_三方逐栏对照矩阵_v1.md,42,16,16,| 7 | `entity_type` | L54 | VARCHAR(16) | ✅ | ✅ | MEMBER / DEALER / AGENT / TA
G23_三方逐栏对照矩阵_v1.md,43,8,8,| 8 | `entity_id` | L55 | VARCHAR(64) | ✅ |
G23_三方逐栏对照矩阵_v1.md,43,64,64,| 8 | `entity_id` | L55 | VARCHAR(64) | ✅ | ✅ | — | 对象标识：会员号 / 荷官工号 / lv3 代理
G23_三方逐栏对照矩阵_v1.md,44,9,9,| 9 | `action_type` | L58 | VARCHAR(32) | ✅
