"参数","取值","来源","性质"
"单链会员密度 member_per_chain","23.00","本窗口 IP 分布 P99（现算）","🟢 渲染现算"
"该 IP 注单占比 ip_order_share","0.66","本窗口分布 P90（现算）","🟢 渲染现算"
"该 IP 下注单数 n_orders_ip","167","Wilson 区间宽度收敛至 0.15 反解（p=0.5，167 局）","🟢 渲染现算"
"稀疏网段条件化","⚠️ 未启用（C08 缺席）","**本次名单未条件化，含公共出口噪声风险**","🟠 情景／外生参数"
"tail_share","0.68","本窗口分布 P99（现算）","🟢 渲染现算"
"n_rounds_tail","167","Wilson 区间宽度 0.15 反解","🟢 渲染现算"
"经济量是否计入合计","**不计入**","主方案 §E1 尾段裁定（含 Simpson 分解与符号检验）","🟠 情景／外生参数"
"opposite_rate","1.00","完全反向（＝1）实测存在，故取其为阈","🟢 渲染现算"
"n_same_round","167","Wilson 反解与实测上限取小者，避免门槛高过全体最大值而名单恒空","🟢 渲染现算"
"same_rate","0.35","本窗口分布 P99（现算）","🟢 渲染现算"
"相对倍数（活跃度校正代理量）","16.09","**校正未完备**：完备校正须桌数与局数分母（本包导出件不含），故本族名单只作候选，不作判定","🟠 情景／外生参数"
"n_same_orders","167","Wilson 反解与实测上限取小者","🟢 渲染现算"
"样本量门槛 N_MIN","167","Wilson 区间宽度收敛至 0.15 反解（现算）","🟢 渲染现算"
"生命周期衰减常数","14 日","**情景参数**：承主方案 §17.2，非估计量，改之须同步四档","🟠 情景／外生参数"
"索提诺最少活跃日","5 日","**情景参数**：少于此数则下行标准差不可信","🟠 情景／外生参数"
"分位归一刻度","0–100","承主方案 §17.2，四实体同刻度","🟢 承上位档"
"荷官／代理规模闸","各实体规模分布 P50","渲染现算（本窗口分布）","🟢 渲染现算"
