"数据表","列序","列名","行业正名","语义","单位","粒度","方向","本次读入","非空率","不同值数","实测极值","在本报告的用途"
"B01_bt_panel",1,"member_id","会员编号","平台唯一玩家标识（对 bet02.bet05）","无","会员","身份","✅ 已读入","100.0%","723,442","145,124.00 ~ 153,924,394.00","三实体一切经济核算的连接键"
"B01_bt_panel",2,"bet_date","营业日","注单归属的营业日（非自然日）","日期","日","时间","✅ 已读入","100.0%","139","20,533.00 ~ 20,671.00","窗口端点、日粒度面板的时间轴"
"B01_bt_panel",3,"stake","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1,000,227","0.00 ~ 29,605,331.82","—"
"B01_bt_panel",4,"game_pnl","游戏输赢（剔退水）","纯游戏口径：派彩 − 本金","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","1,107,247","-1,480,528.15 ~ 1,621,074.50","GGR 之来源；平台毛利 ＝ −Σgame_pnl"
"B01_bt_panel",5,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","1,140,870","-1,480,528.15 ~ 1,621,074.50","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"B01_bt_panel",6,"rebate","退水金额","该会员获得的退水合计","货币","会员","越大成本越高","✅ 已读入","100.0%","66,240","0.00 ~ 51,384.25","T3 打水型：漏损直接来源"
"B01_bt_panel",7,"validbet","有效投注（洗码量）","该会员当日的有效投注额，**不是流水**","货币","会员×日","越大规模越大","✅ 已读入","100.0%","969,195","0.00 ~ 26,357,552.53","营业额口径的唯一基数"
"B01_bt_panel",8,"n_rounds","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","2,464","1.00 ~ 30,143.00","—"
"B01_bt_panel",9,"n_tables","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","30","1.00 ~ 30.00","—"
"B01_bt_panel",10,"n_ip","IP 数","该会员在窗口内用过的下注 IP 个数","个","会员","越大越可疑","✅ 已读入","100.0%","54","1.00 ~ 140.00","规避能力（EVA）之代理量"
"B01_bt_panel",11,"late_share_d","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","14,665","0.00 ~ 1.00","—"
"B01_bt_panel",12,"hedge_rate_d","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","10,728","0.00 ~ 1.00","—"
"B01_bt_panel",13,"stake_cv_d","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","82.7%","1,698,799","0.00 ~ 18.63","—"
"K01_risk_feature_matrix",1,"member_id","会员编号","同上","无","会员","身份","✅ 已读入","100.0%","120,063","207,244.00 ~ 153,922,283.00","风险特征矩阵主键"
"K01_risk_feature_matrix",2,"is_seed","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","0.00 ~ 0.00","—"
"K01_risk_feature_matrix",3,"n_rounds","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,978","50.00 ~ 484,046.00","—"
"K01_risk_feature_matrix",4,"n_days","出勤天数","该会员在窗口内有下注的营业日数","天","会员","越大越活跃","✅ 已读入","100.0%","139","1.00 ~ 139.00","活跃稳定维之分子"
"K01_risk_feature_matrix",5,"n_tables","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","30","1.00 ~ 30.00","—"
