"数据表","SQL 编号","行业正名","状态","行数","读入列数","表头全列数","编码","在本报告的用途"
"B01_bt_panel","§B01","会员×营业日投注面板（经济核算底座）","🟢 已装载","2,676,309","13","13","UTF-8","三实体全部营业额与盈亏核算"
"K01_risk_feature_matrix","§K01","会员风险特征矩阵","🟢 已装载","120,063","15","15","UTF-8","玩家能力值原始量、对打率、退水依赖"
"K01b_seed_manual","§K01b","人工風險單种子（金标准）","🟢 已装载","125","2","2","UTF-8","人工标记史维、金标准命中率"
"C06_hedge_pairs","§C06fix","对打对（同局一庄一闲）","🟢 已装载","1,935","7","7","UTF-8","对打族名录（三实体）"
"R01_late_shoe","§R01","靴末段下注画像（含口径锁 late_def）","🟢 已装载","92,412","15","15","UTF-8","尾秒族名录与画像"
"R02_same_table","§R02","同桌对（会员对粒度）","🟢 已装载","463,691","12","12","UTF-8","同桌率族名录（三实体）"
"R03_player_dealer","§R03","玩家×荷官关联（全窗聚合）","🟢 已装载","517,528","33","33","UTF-8","荷官侧一切归因与荷官能力值"
"R03b_player_dealer_daily","§R03b","玩家×荷官×日关联","🟢 已装载","5,683,734","11","24","UTF-8","荷官日粒度归因、当值时长、节奏稳定度"
"I_ip_player","C-00","玩家×IP×三级代理线","🟢 已装载","696,403","14","14","UTF-8","异常 IP 族、代理侧归因主键 lv3"
"I_ip_agg","C-02","IP 汇总（有效关联会员数与盈利口径）","🟢 已装载","8,660","14","14","UTF-8","异常 IP 之聚集度判据"
"C01_ip_chain","C-01","IP 单链会员密度","🟢 已装载","6,752","8","8","UTF-8","IP 结构风险维、异常 IP 主判据"
"C08_subnet_sparse","AX-A5","/24 稀疏网段名单","🟢 已装载","38,733","8","8","UTF-8","异常 IP 的**条件化闸**：滤除 CGNAT 公共出口"
"S_player_tail","D-06","玩家尾段十一项指标","🟢 已装载","159,603","18","18","UTF-8","尾秒族全维度与其检验"
"T03_arbitrage","§T03","打水型明细（退水与净额）","🟢 已装载","80,631","10","10","UTF-8","退水漏损核算"
"E02_segment_econ","§E02c","客户分层经济账","🟢 已装载","59","9","9","UTF-8","分层对照（**只可取比率**）"
"S01_player_score","S-01ex","玩家能力值导出件","🟢 已装载","161,156","11","11","GB18030","在包即直读，缺席即由包内表复算"
"S02_dealer_score","S-02ex","荷官能力值导出件","🟢 已装载","299","9","9","UTF-8","同上"
"S03_agent_score","S-03ex","代理能力值导出件","🟢 已装载","455","9","9","UTF-8","同上"
"P_player_month","P-01","会员×月面板","🟢 已装载","248,903","9","9","UTF-8","下线留存、新增会员质量"
