序号,锚行,交付件,族,Identity_bet02,Identity_rn,Population_age022,Population_category,State_bet38,Quality_bet05gt0,Quality_bet08notnull,Quality_bet11gt0,Quality_bet04gt0,Window_dt,Stability_orderby,单行结果集,缺口数,拟需豁免项(机器提示),豁免理由(人工填写·必填),定谳(PASS/FAIL/WAIVER_DECLARED),填写人,日期
示例·填毕请整行删除,,（示例）P01C_split_by_dim.csv,P01 恒等族(§Z-18),有,缺,缺,缺,缺,缺,缺,缺,缺,有,有,,4,rn、age022、category、bet38,rn —— 本条检验 bet01 多版本语义，去重将移除被检版本差异；采双轨设计（RAW 版本层＋DEDUP 业务层），二者不得混为单一结论。age022／category／bet38 —— 检验字段语义，语义不因测试线或重对单而异；加闸缩样反失分叉证据，改以分层输出替代。,WAIVER_DECLARED,（填写人姓名）,2026-08-22
1,602,Z07_probe_bet02.csv,Z 前置章,缺,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,是,10,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、dt,,,,
2,655,Z08_roundkey_integrity.csv,Z 前置章,有,缺,缺,缺,缺,缺,缺,缺,缺,缺,缺,是,10,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、dt、orderby,,,,
3,713,Z09_time_axis_recon.csv,Z 前置章,有,缺,缺,缺,缺,缺,缺,缺,缺,缺,缺,是,10,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、dt、orderby,,,,
4,778,Z11_sentinel_impact.csv,Z 前置章,有,缺,缺,缺,缺,缺,缺,缺,缺,缺,缺,是,10,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、dt、orderby,,,,
5,836,Z14_zero_month_diagnosis.csv,Z 前置章,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
6,1359,V_recon.csv,其他,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
7,1447,I_ip_player.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
8,1521,C01_ip_chain.csv,C 关联族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
9,1617,C08_subnet_all.csv,C 关联族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
10,1687,C08_subnet_sparse.csv,C 关联族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
11,1772,S_second_dist.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
12,1849,D03S_daily_roi_diff.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
13,1929,S_player_tail.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
14,2056,S01_player_score.csv,S 评分族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
15,2187,S02_dealer_score.csv,S 评分族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
16,2325,S03_agent_score.csv,S 评分族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
