round_key,table_id,shoe_key,round_seq,biz_date,n_dealer_id,dealer_id_min,n_members,n_bets,n_bet_family,stake,validbet,ggr,rebate,hold_pct,stake_per_bet,stake_per_member,bets_per_member,n_zero_validbet,is_multiparty,n_member_pairs,audit_rn,run_id,snapshot_sync_time,batch_id
1255766|2|901,901,1255766,2,2026-06-07,1,-1,3,3,2,339.9325,0.0000,0.0000,0.0000,,113.3108,113.3108,1.0000,3,1,3,3380001,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|20|901,901,1255766,20,2026-06-07,1,-1,18,30,8,2260.1995,2260.1995,-1839.1997,4.7716,-81.373333,75.3400,125.5666,1.6667,0,1,153,3380002,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|21|901,901,1255766,21,2026-06-07,1,-1,21,35,7,5311.5319,4707.1458,-4077.2772,23.0287,-86.618885,151.7581,252.9301,1.6667,1,1,210,3380003,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|22|901,901,1255766,22,2026-06-07,1,-1,22,36,7,4022.4234,3996.7078,3604.3432,13.6261,90.182805,111.7340,182.8374,1.6364,1,1,231,3380004,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|23|901,901,1255766,23,2026-06-07,1,-1,27,42,9,4815.4179,4763.9869,-3670.4099,16.1514,-77.044921,114.6528,178.3488,1.5556,1,1,351,3380005,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|24|901,901,1255766,24,2026-06-07,1,-1,26,42,8,3356.4704,2842.1598,-1916.5470,7.1438,-67.432767,79.9160,129.0950,1.6154,2,1,325,3380006,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|25|901,901,1255766,25,2026-06-07,1,-1,20,34,7,5339.8030,4101.8458,-2699.9052,17.4059,-65.821714,157.0530,266.9902,1.7000,1,1,190,3380007,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|26|901,901,1255766,26,2026-06-07,1,-1,27,43,9,5863.2895,5863.2895,5009.7456,11.7246,85.442577,136.3556,217.1589,1.5926,0,1,351,3380008,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|27|901,901,1255766,27,2026-06-07,1,-1,19,32,9,7257.2545,6221.1640,5717.3558,29.0585,91.901705,226.7892,381.9608,1.6842,1,1,171,3380009,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|28|901,901,1255766,28,2026-06-07,1,-1,12,25,9,1375.9730,1375.9730,698.7239,0.7771,50.780347,55.0389,114.6644,2.0833,0,1,66,3380010,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|29|901,901,1255766,29,2026-06-07,1,-1,11,23,10,5090.1514,2878.5139,-3296.9562,20.2038,-114.536750,221.3109,462.7410,2.0909,0,1,55,3380011,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|3|901,901,1255766,3,2026-06-07,1,-1,1,1,1,215.3038,215.3038,-204.5386,0.0000,-95.000000,215.3038,215.3038,1.0000,0,0,0,3380012,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|30|901,901,1255766,30,2026-06-07,1,-1,12,23,8,2391.4881,2193.0908,-1841.4421,0.7771,-83.965612,103.9777,199.2907,1.9167,2,1,66,3380013,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|31|901,901,1255766,31,2026-06-07,1,-1,22,39,8,8141.6777,7416.4143,2359.5989,35.9782,31.815899,208.7610,370.0763,1.7727,1,1,231,3380014,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|32|901,901,1255766,32,2026-06-07,1,-1,17,28,7,4109.1822,4109.1822,-2950.6449,7.7707,-71.806134,146.7565,241.7166,1.6471,0,1,136,3380015,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|33|901,901,1255766,33,2026-06-07,1,-1,24,38,10,8353.9107,8353.9107,7496.6405,4.7289,89.738098,219.8398,348.0796,1.5833,0,1,276,3380016,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|34|901,901,1255766,34,2026-06-07,1,-1,24,36,8,2761.1815,2761.1815,-1467.8826,3.0167,-53.161394,76.6995,115.0492,1.5000,0,1,276,3380017,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|35|901,901,1255766,35,2026-06-07,1,-1,24,35,8,8796.9301,8796.9301,-8105.0668,3.0832,-92.135173,251.3409,366.5388,1.4583,0,1,276,3380018,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|36|901,901,1255766,36,2026-06-07,1,-1,33,54,10,11519.6277,263.7410,-438.2290,0.4446,-166.158819,213.3264,349.0796,1.6364,33,1,528,3380019,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|37|901,901,1255766,37,2026-06-07,1,-1,29,50,9,5043.6290,4957.2881,87.8077,2.4060,1.771285,100.8726,173.9182,1.7241,1,1,406,3380020,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|38|901,901,1255766,38,2026-06-07,1,-1,33,56,9,10784.7603,258.1702,-187.9997,0.0000,-72.820070,192.5850,326.8109,1.6970,36,1,528,3380021,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|39|901,901,1255766,39,2026-06-07,1,-1,22,38,8,9025.0455,8593.3411,6638.2367,10.1019,77.248612,237.5012,410.2293,1.7273,1,1,231,3380022,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|4|901,901,1255766,4,2026-06-07,1,-1,4,4,2,322.3992,322.3992,-102.4577,0.0000,-31.779770,80.5998,80.5998,1.0000,0,1,6,3380023,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|40|901,901,1255766,40,2026-06-07,1,-1,10,18,7,2574.5549,2574.5549,-192.4939,11.6560,-7.476784,143.0308,257.4555,1.8000,0,1,45,3380024,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|41|901,901,1255766,41,2026-06-07,1,-1,11,22,7,1819.9116,1733.5708,-107.4331,1.2819,-6.197212,82.7233,165.4465,2.0000,1,1,55,3380025,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|42|901,901,1255766,42,2026-06-07,1,-1,27,38,8,7978.2313,7978.2313,-5601.9379,21.6928,-70.215285,209.9535,295.4900,1.4074,0,1,351,3380026,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|43|901,901,1255766,43,2026-06-07,1,-1,25,41,8,3923.7604,3405.7152,1521.6937,3.7828,44.680591,95.7015,156.9504,1.6400,1,1,300,3380027,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|44|901,901,1255766,44,2026-06-07,1,-1,21,27,6,4183.3805,4183.3805,-2981.8199,20.2038,-71.277759,154.9400,199.2086,1.2857,0,1,210,3380028,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|45|901,901,1255766,45,2026-06-07,1,-1,16,19,3,2305.1711,1614.4441,1131.1722,1.2636,70.065738,121.3248,144.0732,1.1875,1,1,120,3380029,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|46|901,901,1255766,46,2026-06-07,1,-1,11,14,4,3746.9953,2451.8822,-2706.2971,7.3821,-110.376307,267.6425,340.6359,1.2727,1,1,55,3380030,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|47|901,901,1255766,47,2026-06-07,1,-1,16,17,3,1473.0197,1473.0197,994.9067,1.5541,67.541978,86.6482,92.0637,1.0625,0,1,120,3380031,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|48|901,901,1255766,48,2026-06-07,1,-1,12,14,3,8122.7497,7863.7270,2633.6037,5.4395,33.490527,580.1964,676.8958,1.1667,1,1,66,3380032,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
1255766|49|901,901,1255766,49,2026-06-07,1,-1,18,21,5,2829.5874,2829.5874,1601.0915,3.4968,56.583922,134.7423,157.1993,1.1667,0,1,153,3380033,A168_HF9F_20260827_0900,2026-08-27 09:00:00,339
