round_key,table_id,shoe_key,round_seq,biz_date,n_dealer_id,dealer_id_min,n_members,n_bets,n_bet_family,stake,validbet,ggr,rebate,hold_pct,stake_per_bet,stake_per_member,bets_per_member,n_zero_validbet,is_multiparty,n_member_pairs,audit_rn,run_id,snapshot_sync_time,batch_id
1247211|39|906,906,1247211,39,2026-05-27,1,-1,4,4,1,53.8265,53.8265,-51.1351,0.0000,-95.000000,13.4566,13.4566,1.0000,0,1,6,2900001,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|4|906,906,1247211,4,2026-05-27,1,-1,1,1,1,21.0062,21.0062,21.0062,0.0000,100.000000,21.0062,21.0062,1.0000,0,0,0,2900002,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|40|906,906,1247211,40,2026-05-27,1,-1,7,8,3,181.4822,10.3783,10.3783,0.0000,100.000000,22.6853,25.9260,1.1429,7,1,21,2900003,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|41|906,906,1247211,41,2026-05-27,1,-1,6,8,4,205.3456,205.3456,144.1459,0.0000,70.196713,25.6682,34.2243,1.3333,0,1,15,2900004,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|42|906,906,1247211,42,2026-05-27,1,-1,7,7,2,98.7055,98.7055,-43.8248,0.0000,-44.399486,14.1008,14.1008,1.0000,0,1,21,2900005,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|43|906,906,1247211,43,2026-05-27,1,-1,8,8,2,1457.2789,0.0000,0.0000,0.0000,,182.1599,182.1599,1.0000,8,1,28,2900006,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|44|906,906,1247211,44,2026-05-27,1,-1,10,11,2,1579.2958,1558.2896,-1345.6739,0.0000,-86.355832,143.5723,157.9296,1.1000,1,1,45,2900007,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|45|906,906,1247211,45,2026-05-27,1,-1,19,24,6,2705.0136,2644.5637,558.1190,0.0000,21.104389,112.7089,142.3691,1.2632,1,1,171,2900008,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|46|906,906,1247211,46,2026-05-27,1,-1,28,42,8,4951.2887,4951.2887,394.6845,0.0000,7.971349,117.8878,176.8317,1.5000,0,1,378,2900009,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|47|906,906,1247211,47,2026-05-27,1,-1,21,30,7,3564.6433,3564.6433,-157.9879,0.0000,-4.432082,118.8214,169.7449,1.4286,0,1,210,2900010,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|48|906,906,1247211,48,2026-05-27,1,-1,8,13,7,1766.0298,1766.0298,1547.5654,0.0000,87.629629,135.8484,220.7537,1.6250,0,1,28,2900011,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|49|906,906,1247211,49,2026-05-27,1,-1,7,11,6,3405.1821,3405.1821,-2817.5729,0.0000,-82.743677,309.5620,486.4546,1.5714,0,1,21,2900012,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|5|906,906,1247211,5,2026-05-27,1,-1,3,3,1,70.9533,70.9533,-70.9533,0.0000,-100.000000,23.6511,23.6511,1.0000,0,1,3,2900013,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|50|906,906,1247211,50,2026-05-27,1,-1,7,11,6,3318.9594,3318.9594,2970.9261,0.0000,89.513781,301.7236,474.1371,1.5714,0,1,21,2900014,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|51|906,906,1247211,51,2026-05-27,1,-1,7,12,6,256.6470,256.6470,35.0427,0.0000,13.654040,21.3873,36.6639,1.7143,0,1,21,2900015,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|52|906,906,1247211,52,2026-05-27,1,-1,8,9,3,717.5114,717.5114,-706.0204,0.6722,-98.398492,79.7235,89.6889,1.1250,0,1,28,2900016,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
1247211|6|906,906,1247211,6,2026-05-27,1,-1,2,2,2,64.6514,64.6514,-22.6391,0.0000,-35.017088,32.3257,32.3257,1.0000,0,1,1,2900017,A168_HF9F_20260827_0900,2026-08-27 09:00:00,291
