来源,字段,正名,类型与陷阱,本档用途
ods_a168_bet02 注单明细表,dt,营业日（分区键）,取自 bet07 账务日期，100% 对应；**DATE(bet08) 与之相差 38.6%，绝不可用于切日**,139 日窗的唯一切日依据
ods_a168_bet02 注单明细表,bet01,注单号,varchar；同一注单存在多版本，是幂等去重的分区键,ROW_NUMBER 去重
ods_a168_bet02 注单明细表,bet02,游戏类别,varchar；'101'＝百家乐。跨玩种指标不可比,只取百家乐
ods_a168_bet02 注单明细表,bet03,场次编号（靴号）,varchar；**仅用它作靴键会把跨日同号靴并成一靴**，靴长虚高、靴内位置全错,靴键；§3 并列两种口径
ods_a168_bet02 注单明细表,bet04,靴内局号（子场次编号）,varchar；须 TRIM＋NULLIF＋CAST 且 > 0；其绝对值的靴内含义随靴长漂移,靴尾判定 round_no
ods_a168_bet02 注单明细表,bet05,会员号,varchar；裸 CAST 不去空白，下游以字符串关联会**静默失配**（只表现为名单变短）,分组主键 player_id
ods_a168_bet02 注单明细表,bet07,账务日期,dt 分区的来源；本档不直接取用，登记以防误引,—（经 dt 间接使用）
ods_a168_bet02 注单明细表,bet08,下注时间,秒粒度；下注窗仅约 14 秒（7 桌）／26 秒（23 桌），同秒并列极多。**只可用于局内排序，不可切日**,—（局内尾段篇使用）
ods_a168_bet02 注单明细表,bet09,玩法编码,庄／闲／和／对子等；**押边注者不可能在算牌**，是强排除维,—（增维建议项）
ods_a168_bet02 注单明细表,bet11,汇率,"varchar；多币种归一的除数。仅 NULLIF(...,0) 不够，**须验 > 0**；精度取 DECIMAL(20,8)",一切金额归一
ods_a168_bet02 注单明细表,bet13,下注金额,varchar；与洗码量之比全平台约 0.9004，偏离即须报警,游戏输赢的减项
ods_a168_bet02 注单明细表,bet14,派彩金额,**同名异义：在 bet01 表中 bet14 是退水百分比，在 bet02 表才是派彩金额**；和局派彩＝本金,游戏输赢的加项、胜负判定
ods_a168_bet02 注单明细表,bet16,退水金额,平台按洗码量回赠会员的部分，属平台成本,恒等式自校
ods_a168_bet02 注单明细表,bet17,会员净输赢,已锁恒等式：**净输赢 ＝ 游戏输赢 ＋ 退水**；bet41 不参与结算式,恒等式自校
ods_a168_bet02 注单明细表,bet18,一级代理线,varchar；与 age001 关联；五级须逐级排除，缺一级即漏,测试线排除
ods_a168_bet02 注单明细表,bet19,二级代理线,同上,测试线排除
ods_a168_bet02 注单明细表,bet20,三级代理线,同上,测试线排除
ods_a168_bet02 注单明细表,bet21,四级代理线,同上,测试线排除
ods_a168_bet02 注单明细表,bet22,五级代理线,同上,测试线排除
ods_a168_bet02 注单明细表,bet38,测试标识,'N'＝非测试；须 UPPER＋TRIM，防大小写与空白混入,测试单闸
ods_a168_bet02 注单明细表,bet39,桌号,全平台 30 张百家乐桌；下注窗制式分两档（约 14 秒 7 桌／26 秒 23 桌）,靴键口径乙 · 分层键
ods_a168_bet02 注单明细表,bet41,有效投注（另一定义）,**与 validbet 构成双定义 S1，本项目尚未锁定**；不参与结算式,—（登记以防误取）
ods_a168_bet02 注单明细表,validbet,有效投注（洗码量）,**双定义未锁**；若其已为归一后金额，再除汇率即构成二次归一。一切 ROI 的分母系于此,ROI 分母 · 结算基数
ods_a168_bet02 注单明细表,category,注单类别,'1'＝正式单；不设此闸则测试单计入,正式单闸
