P5序号,交付件,原版审计版,分批作业版,分批作业版1万,三版一致,现档在位,现档行数,实体,粒度,可信度,用法,重导裁定,依据
1,A_anchor.csv,同,同,同,是,在位,18,IP,g.ip,OK,SCREENING,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
2,B01_bt_panel.csv,同,同,同,是,在位,2150000,会员,member_id × bet_date,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
3,B01_bt_panel_delta.csv,同,同,同,是,在位,50811,会员,member_id × bet_date,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
4,B4_2b_funnel_and_mu0.csv,异,异,异,是,在位,1,全窗/元数据,n_raw × n_g1 × n_g2,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
5,B4_5b_tip_nature.csv,同,同,同,是,在位,3,IP,TRIM(bet09),OK,SCREENING,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
6,B_online_base.csv,同,同,同,是,在位,836,桌台,table_id × sec_elapsed,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
7,C01_ip_chain.csv,同,同,同,是,在位,6752,IP,bet_ip,OK,SCREENING,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
8,C06_hedge_pairs.csv,同,同,同,是,在位,1935,IP,bet_ip × m_a × m_b,WRONG_GRAIN,SCREENING,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
9,C06d_hedge_pairs_dated.csv,同,同,同,是,在位,1935,会员,a.bet_ip × a.member_id,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
10,C08_subnet_all.csv,异,异,异,是,在位,45907,网段,1,INVALID,SCREENING,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
11,C08_subnet_sparse.csv,异,异,异,是,在位,38733,网段,1,INVALID,SCREENING,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
12,D03S_daily_roi_diff.csv,同,同,同,是,在位,138,日期,bet_date,OK,REFERENCE,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
13,DICT_01a_bet41_tri.csv,异,异,异,是,在位,1,全窗/元数据,scope × n_rows × sum_s,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
14,DICT_01b_roundkey_card.csv,异,异,异,是,在位,1,全窗/元数据,scope × n_rows × nd_be,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
15,DICT_01c_dimension.csv,异,异,异,是,在位,1,全窗/元数据,scope × n_rows × avg_v,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
16,DICT_01d_bet_latency.csv,同,同,同,是,在位,30,全窗/元数据,TRIM(bet39),OK,REFERENCE,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
17,DX04_bet09_profile.csv,同,同,同,是,在位,23,产品,bet_side,OK,SUPPORT,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
18,DX05_product_panorama.csv,同,同,同,是,在位,8,产品,product_code,OK,SUPPORT,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
19,E02_segment_econ.csv,异,异,异,是,在位,59,全窗/元数据,m.rebate_rate_bkt × m.,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
20,EV01_disposal_events.csv,同,同,同,是,在位,3753,日期,event_id × event_time,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
21,EV02_member_disposal.csv,同,同,同,是,在位,8707,会员,event_id × event_date,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
22,I_ip_agg.csv,同,同,同,是,在位,8660,IP,bet_ip,OK,SCREENING,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
23,I_ip_player.csv,同,同,同,是,在位,696403,会员,b.bet_ip × b.member_id,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
24,K01_risk_feature_matrix.csv,同,同,同,是,在位,120063,会员,member_id × is_seed ×,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
25,K01b_seed_goldip.csv,同,同,同,是,不在位,,会员,member_id × seed_src,WRONG_GRAIN,NOT_FOR_DECISION,须重导（码虽同，然现档不在位）,P4D 输出未以此名落于 数据库/，或系分批改名
26,K01b_seed_manual.csv,同,同,同,是,在位,125,会员,member_id × seed_src,WRONG_GRAIN,NOT_FOR_DECISION,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
27,K01c_seed_dated.csv,同,同,同,是,在位,18,IP,seed_id × seed_ip × cr,WRONG_GRAIN,SCREENING,可省略重导 · 直接沿用 P4D 之现档,三版之可执行码与窗口／快照／run_id 字面量逐字相同
28,L_label_dist.csv,异,异,异,是,在位,3,全窗/元数据,risk × orders,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
29,P01A_crosstab.csv,异,异,异,是,在位,1,全窗/元数据,n_rows × bet16_null ×,INVALID,NOT_FOR_DECISION,必须重导,P5D 将相对刻度栏改为 CAST(NULL) ＋ 全窗基线标记，值必不同
