模块,语句号,原列名,HF1列名,类型
A_anchor.csv,1,ramp_recent,ramp_recent_vs_prior,ramp 正名
A_anchor.csv,1,ramp_recent,ramp_recent_vs_all,ramp 正名
B01_bt_panel.csv,2,stake,stake_xagg,歧义修复(_xagg)
B01_bt_panel.csv,2,n_rounds,n_rounds_xagg,歧义修复(_xagg)
B01_bt_panel.csv,2,ramp_recent,ramp_recent_vs_prior,ramp 正名
B01_bt_panel.csv,2,ramp_recent,ramp_recent_vs_all,ramp 正名
B01_bt_panel_delta.csv,3,stake,stake_xagg,歧义修复(_xagg)
B01_bt_panel_delta.csv,3,n_rounds,n_rounds_xagg,歧义修复(_xagg)
B01_bt_panel_delta.csv,3,ramp_recent,ramp_recent_vs_prior,ramp 正名
B01_bt_panel_delta.csv,3,ramp_recent,ramp_recent_vs_all,ramp 正名
B_online_base.csv,6,valid_bet,valid_bet_xagg,歧义修复(_xagg)
B_online_base.csv,6,n_rounds,n_rounds_xagg,歧义修复(_xagg)
B_online_base.csv,6,ramp_recent,ramp_recent_vs_prior,ramp 正名
B_online_base.csv,6,ramp_recent,ramp_recent_vs_all,ramp 正名
C01_ip_chain.csv,7,stake,stake_xagg,歧义修复(_xagg)
C01_ip_chain.csv,7,ramp_recent,ramp_recent_vs_prior,ramp 正名
C01_ip_chain.csv,7,ramp_recent,ramp_recent_vs_all,ramp 正名
C08_subnet_all.csv,10,stake,stake_xagg,歧义修复(_xagg)
C08_subnet_all.csv,10,valid_bet,valid_bet_xagg,歧义修复(_xagg)
C08_subnet_all.csv,10,ramp_recent,ramp_recent_vs_prior,ramp 正名
C08_subnet_all.csv,10,ramp_recent,ramp_recent_vs_all,ramp 正名
C08_subnet_sparse.csv,11,valid_bet,valid_bet_xagg,歧义修复(_xagg)
C08_subnet_sparse.csv,11,ramp_recent,ramp_recent_vs_prior,ramp 正名
C08_subnet_sparse.csv,11,ramp_recent,ramp_recent_vs_all,ramp 正名
D03S_daily_roi_diff.csv,12,n_rounds,n_rounds_xagg,歧义修复(_xagg)
D03S_daily_roi_diff.csv,12,ramp_recent,ramp_recent_vs_prior,ramp 正名
D03S_daily_roi_diff.csv,12,ramp_recent,ramp_recent_vs_all,ramp 正名
DICT_01b_roundkey_card.csv,14,ramp_recent,ramp_recent_vs_prior,ramp 正名
DICT_01b_roundkey_card.csv,14,ramp_recent,ramp_recent_vs_all,ramp 正名
DICT_01c_dimension.csv,15,ramp_recent,ramp_recent_vs_prior,ramp 正名
DICT_01c_dimension.csv,15,ramp_recent,ramp_recent_vs_all,ramp 正名
DICT_01d_bet_latency.csv,16,ramp_recent,ramp_recent_vs_prior,ramp 正名
DICT_01d_bet_latency.csv,16,ramp_recent,ramp_recent_vs_all,ramp 正名
I_ip_agg.csv,22,stake,stake_xagg,歧义修复(_xagg)
I_ip_agg.csv,22,n_rounds,n_rounds_xagg,歧义修复(_xagg)
I_ip_agg.csv,22,ramp_recent,ramp_recent_vs_prior,ramp 正名
I_ip_agg.csv,22,ramp_recent,ramp_recent_vs_all,ramp 正名
I_ip_player.csv,23,ramp_recent,ramp_recent_vs_prior,ramp 正名
I_ip_player.csv,23,ramp_recent,ramp_recent_vs_all,ramp 正名
K01_risk_feature_matrix.csv,24,n_rounds,n_rounds_xagg,歧义修复(_xagg)
K01b_seed_goldip.csv,25,ramp_recent,ramp_recent_vs_prior,ramp 正名
K01b_seed_goldip.csv,25,ramp_recent,ramp_recent_vs_all,ramp 正名
K01c_seed_dated.csv,27,ramp_recent,ramp_recent_vs_prior,ramp 正名
K01c_seed_dated.csv,27,ramp_recent,ramp_recent_vs_all,ramp 正名
P0C02_标签口径.csv,38,ramp_recent,ramp_recent_vs_prior,ramp 正名
P0C02_标签口径.csv,38,ramp_recent,ramp_recent_vs_all,ramp 正名
P0C03_标记次数分布.csv,39,ramp_recent,ramp_recent_vs_prior,ramp 正名
P0C03_标记次数分布.csv,39,ramp_recent,ramp_recent_vs_all,ramp 正名
P0C05_标记时点定位.csv,41,ramp_recent,ramp_recent_vs_prior,ramp 正名
