type_id,name_zh,criterion_column,criterion_source,primary_deliverable,criterion_role,threshold_status,gate,severity,entity_type,window_scope,evidence_ladder,economic_path_status,admit_to_feature_scoring,admit_to_risk_decision,admit_to_reward_decision,source_status,source_bytes,source_rows,source_cols,source_key,primary_status,primary_key,source_column_exists,L1_source_exists,L1b_output_exposed,L2_source_aligned,L3_source_admissible,L4_criterion_eligible,criterion_gate_reason,fanout_max,fanout_p99,fanout_mean,fanout_rate_gt1,fanout_status,absence_class,silent_drop_detected,evidence_level,registry_version,sql_package,atlas_version,atlas_generated_at
T-01,同桌聚集,exp_same,R02_same_table.csv,R02_same_table.csv,REFERENCE,NO_THRESHOLD_BY_DESIGN,CONDITIONAL,S3,MEMBER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,AVAILABLE,578768565,467723,139,,AVAILABLE,,TRUE,TRUE,TRUE,TRUE,FALSE,,L3 TEMPORAL_NOT_ADMISSIBLE(FULL_WINDOW),,,,,NOT_RUN,,FALSE,L1_REAL_CSV_HEADER,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-01,同桌聚集,jaccard,R02_same_table.csv,R02_same_table.csv,STAT_DIRECTIONAL,PENDING_INVERSE,CONDITIONAL,S3,MEMBER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,AVAILABLE,578768565,467723,139,,AVAILABLE,,TRUE,TRUE,TRUE,TRUE,FALSE,,L3 TEMPORAL_NOT_ADMISSIBLE(FULL_WINDOW),,,,,NOT_RUN,,FALSE,L1_REAL_CSV_HEADER,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-01,同桌聚集,lift,R02_same_table.csv,R02_same_table.csv,STAT_DIRECTIONAL,PENDING_INVERSE,CONDITIONAL,S3,MEMBER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,AVAILABLE,578768565,467723,139,,AVAILABLE,,TRUE,TRUE,TRUE,TRUE,FALSE,,L3 TEMPORAL_NOT_ADMISSIBLE(FULL_WINDOW),,,,,NOT_RUN,,FALSE,L1_REAL_CSV_HEADER,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-01,同桌聚集,n_tables,R02_same_table.csv,R02_same_table.csv,STAT_DIRECTIONAL,PENDING_INVERSE,CONDITIONAL,S3,MEMBER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,AVAILABLE,578768565,467723,139,,AVAILABLE,,TRUE,TRUE,TRUE,TRUE,FALSE,,L3 TEMPORAL_NOT_ADMISSIBLE(FULL_WINDOW),,,,,NOT_RUN,,FALSE,L1_REAL_CSV_HEADER,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-01,同桌聚集,same_rate,R02_same_table.csv,R02_same_table.csv,STAT_DIRECTIONAL,PENDING_INVERSE,CONDITIONAL,S3,MEMBER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,AVAILABLE,578768565,467723,139,,AVAILABLE,,TRUE,TRUE,TRUE,TRUE,FALSE,,L3 TEMPORAL_NOT_ADMISSIBLE(FULL_WINDOW),,,,,NOT_RUN,,FALSE,L1_REAL_CSV_HEADER,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-02,荷官—玩家串谋,delta_p,R03b_player_dealer_daily.csv,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,PENDING_INVERSE,BLOCK,S2,DEALER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,NOT_ON_DISK,,,,,NOT_ON_DISK,,,FALSE,,,,,L1 NOT_ON_DISK,,,,,NOT_RUN,,FALSE,L0_SOURCE_UNAVAILABLE,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-02,荷官—玩家串谋,delta_z,R03b_player_dealer_daily.csv,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,PENDING_INVERSE,BLOCK,S2,DEALER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,NOT_ON_DISK,,,,,NOT_ON_DISK,,,FALSE,,,,,L1 NOT_ON_DISK,,,,,NOT_RUN,,FALSE,L0_SOURCE_UNAVAILABLE,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-02,荷官—玩家串谋,eligibility_status,R03b_player_dealer_daily.csv,R03b_player_dealer_daily.csv,FILTER,NO_THRESHOLD_BY_DESIGN,BLOCK,S2,DEALER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,NOT_ON_DISK,,,,,NOT_ON_DISK,,,FALSE,,,,,L1 NOT_ON_DISK,,,,,NOT_RUN,,FALSE,L0_SOURCE_UNAVAILABLE,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-02,荷官—玩家串谋,z_score_w,R03b_player_dealer_daily.csv,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,PENDING_INVERSE,BLOCK,S2,DEALER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,NOT_ON_DISK,,,,,NOT_ON_DISK,,,FALSE,,,,,L1 NOT_ON_DISK,,,,,NOT_RUN,,FALSE,L0_SOURCE_UNAVAILABLE,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
T-02,荷官—玩家串谋,特定玩家复现率,S02_dealer_score.csv,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,PENDING_INVERSE,BLOCK,S2,DEALER,FULL_WINDOW,E1,NOT_ESTABLISHED,FALSE,FALSE,FALSE,AVAILABLE,425768,299,136,dealer_id,NOT_ON_DISK,,TRUE,TRUE,TRUE,FALSE,,,L2 KEY_MISMATCH_OR_PRIMARY_UNAVAILABLE,,,,,NOT_RUN,,FALSE,L1_REAL_CSV_HEADER,1.5.003,a168_SQL总包_v12_0_0_HF9g-P5D_*版_六层商业版_OPT（133 件）,1.0.0,2026-09-03 12:43:14
