scope,key,field,v1_4_0,v1_5_0,v1_5_0_role,change
criterion,T-01/lift,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-01/jaccard,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-01/same_rate,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-01/exp_same,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-01/n_tables,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-02/delta_z,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-02/delta_p,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-02/z_score_w,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-02/eligibility_status,direction,filter,(empty),FILTER,ROLE_SPLIT_OUT
criterion,T-02/特定玩家复现率,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-02/节奏稳定度,direction,abnormal,abnormal,STAT_DIRECTIONAL,UNCHANGED
criterion,T-03/late_share,direction,profile_only,(empty),PROFILE_ONLY,ROLE_SPLIT_OUT
criterion,T-03/shoe_pos_p50,direction,profile_only,(empty),PROFILE_ONLY,ROLE_SPLIT_OUT
criterion,T-03/stake_ramp,direction,profile_only,(empty),PROFILE_ONLY,ROLE_SPLIT_OUT
criterion,T-03/tail_share,direction,profile_only,(empty),PROFILE_ONLY,ROLE_SPLIT_OUT
criterion,T-04/opposite_rate,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-04/n_opposite_round,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-04/hedge_coverage,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-04/dir_stake,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-04/bet_ip,direction,join,(empty),JOIN_KEY,ROLE_SPLIT_OUT
criterion,T-04/lv3,direction,join,(empty),JOIN_KEY,ROLE_SPLIT_OUT
criterion,T-05/is_self_hedge,direction,flag,(empty),FLAG,ROLE_SPLIT_OUT
criterion,T-05/hedge_rate,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-05/stake_cv,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-05/rebate_dep,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-05/side_entropy,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
