dealer_id,n_points,switch_count,switch_rate,converged
462,26,,,FALSE
471,15,,,FALSE
526,34,,,FALSE
529,48,,,FALSE
550,37,,,FALSE
583,35,,,FALSE
595,32,,,FALSE
752,25,,,FALSE
763,26,,,FALSE
789,45,,,FALSE
919,33,,,FALSE
925,28,,,FALSE
948,35,,,FALSE
970,30,,,FALSE
986,29,,,FALSE
987,33,,,FALSE
994,27,,,FALSE
1004,40,,,FALSE
1017,36,,,FALSE
1078,25,,,FALSE
1094,26,,,FALSE
1109,42,,,FALSE
1115,39,,,FALSE
1151,29,,,FALSE
1205,43,,,FALSE
1210,27,,,FALSE
1221,38,,,FALSE
1299,48,,,FALSE
1304,21,,,FALSE
1306,31,,,FALSE
1307,35,,,FALSE
1318,27,,,FALSE
1323,40,,,FALSE
1325,31,,,FALSE
1331,23,,,FALSE
1353,48,,,FALSE
1363,39,,,FALSE
1382,33,,,FALSE
1383,18,,,FALSE
1384,15,,,FALSE
1385,23,,,FALSE
1396,34,,,FALSE
1399,41,,,FALSE
1400,18,,,FALSE
1401,32,,,FALSE
1405,46,,,FALSE
1485,30,,,FALSE
1490,37,,,FALSE
1505,32,,,FALSE
1507,42,,,FALSE
1509,38,,,FALSE
1623,37,,,FALSE
1645,18,,,FALSE
1646,33,,,FALSE
1654,27,,,FALSE
1702,15,,,FALSE
1704,33,,,FALSE
1710,44,,,FALSE
1750,21,,,FALSE
1935,38,,,FALSE
1940,18,,,FALSE
1941,43,,,FALSE
1942,41,,,FALSE
1947,44,,,FALSE
1957,33,,,FALSE
1963,30,,,FALSE
1985,43,,,FALSE
2088,21,,,FALSE
2093,35,,,FALSE
2101,27,,,FALSE
2103,33,,,FALSE
2106,32,,,FALSE
2108,23,,,FALSE
2115,18,,,FALSE
2117,46,,,FALSE
2127,45,,,FALSE
2129,30,,,FALSE
2130,36,,,FALSE
2142,21,,,FALSE
2145,26,,,FALSE
2147,30,,,FALSE
2153,29,,,FALSE
2155,18,,,FALSE
2160,19,,,FALSE
2169,17,,,FALSE
2170,29,,,FALSE
2174,29,,,FALSE
2175,17,,,FALSE
2177,29,,,FALSE
2196,18,,,FALSE
2201,25,,,FALSE
2209,22,,,FALSE
2212,38,,,FALSE
2216,35,,,FALSE
2218,43,,,FALSE
2220,34,,,FALSE
2224,38,,,FALSE
2233,18,,,FALSE
2234,41,,,FALSE
2235,36,,,FALSE
2239,26,,,FALSE
2241,35,,,FALSE
2242,47,,,FALSE
2244,39,,,FALSE
2246,30,,,FALSE
2248,34,,,FALSE
2250,34,,,FALSE
2251,24,,,FALSE
2252,28,,,FALSE
2256,38,,,FALSE
2258,39,,,FALSE
2261,22,,,FALSE
2266,30,,,FALSE
2267,33,,,FALSE
2271,21,,,FALSE
2274,16,,,FALSE
