"FullName","Length","CreationTime","LastWriteTime","Attributes"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\7f536e57-f45b-46d2-8c2f-bf93aa2494ed","0","2026-08-03 下午 02:55:51","2026-08-03 下午 02:55:51","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\ca83943f-b1a9-4528-9407-2c5b08e6caf9","0","2026-08-03 下午 02:55:59","2026-08-03 下午 02:55:59","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_AggregatorHost.e_9c9ef48dac1aca047bc6f7eebb65a4f975fb57_55b68f9f_4ee2f2de-9847-458c-89c2-b1f40bd6e93a\Report.wer","10632","2026-08-12 下午 08:42:00","2026-08-12 下午 08:42:00","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_bad_module_info_bed782687f93aa63b4ce25fb92ad75a94bb39_85207d7d_26baed63-c34c-4cdc-89d9-343da199ebc5\Report.wer","7982","2026-07-17 下午 06:18:33","2026-07-17 下午 06:18:33","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_bad_module_info_d50e76cccc9ff428291d5cdeaae91ad5414099_85207d7d_cb2f24f0-88fc-4b53-9af7-1173e1c21a8a\Report.wer","20472","2026-07-20 下午 04:01:03","2026-07-20 下午 04:01:03","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_bad_module_info_e8558fb98fb41ea433c874d7fe772558ed75fb0_85207d7d_b66f4474-356e-4b6b-bba9-8c1f356d6ccd\Report.wer","14436","2026-08-10 下午 10:19:01","2026-08-10 下午 10:19:01","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_bad_module_info_f144b9cdb47fd933622df5e6b60cd143eaf938a_85207d7d_3d6d90f5-6311-4bbf-b699-755a50047322\Report.wer","6948","2026-08-03 下午 02:55:58","2026-08-03 下午 02:55:58","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_CDGRegedit.exe_dd4a27a1cb751ca020ba6b7b35fc8798e65c7c6_9b1220d5_313bfd97-11b0-47ab-9a2b-a57b1a0dc2d4\Report.wer","24598","2026-07-23 上午 12:25:43","2026-07-23 上午 12:25:43","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_CDGRegedit.exe_dd4a27a1cb751ca020ba6b7b35fc8798e65c7c6_9b1220d5_9fca0958-b833-4fed-b6ae-241fc67583d8\Report.wer","24370","2026-08-10 下午 10:19:01","2026-08-10 下午 10:19:01","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_chrome.exe_131d974703cbd43f920d830cb8f79bb4686560_ea255c9d_53ef640e-f756-4d31-aa08-5e3d70cca8f5\Report.wer","14280","2026-07-25 下午 12:27:34","2026-07-25 下午 12:27:34","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_1cb0d8ac1ec6679e9c8ed0f5ef892389cb26c0d1_e0bca807_fc24dc4c-a3ba-44bb-a073-f4149d2b3737\Report.wer","11812","2026-08-02 下午 12:52:31","2026-08-02 下午 12:52:31","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_2879ae8ddcd1b33d0eff4b4e9e854dec5b15ad_12b39a23_f516c949-3a85-492b-a19e-46bf7529cf6f\Report.wer","11816","2026-07-22 下午 09:25:20","2026-07-22 下午 09:25:20","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_5c40dffea77ee3eed351107e28d5c3599b742e2_e0bca807_00e2bffa-812f-499d-be8c-8afa5e392660\Report.wer","11812","2026-08-02 下午 12:31:14","2026-08-02 下午 12:31:14","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_69caaca4965be217b3dea5f84ca34dacf2e436_e0bca807_80ead781-da59-404a-9ded-3e0350e32828\Report.wer","26292","2026-07-25 下午 02:04:41","2026-07-25 下午 02:04:41","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_69caaca4965be217b3dea5f84ca34dacf2e436_e0bca807_b004d2c2-0478-4e57-9195-871672778a22\Report.wer","25716","2026-08-02 上午 11:53:25","2026-08-02 上午 11:53:25","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_70e548c274c498c963bd821216622751746f1191_12b39a23_0d8aaf32-269a-433c-b131-026918a1f4f6\Report.wer","11816","2026-07-23 下午 09:17:26","2026-07-23 下午 09:17:26","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_1092a6a8-b083-4d2f-81c7-38006a5bb91a\Report.wer","13738","2026-07-28 下午 08:43:35","2026-07-28 下午 08:43:35","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_1c6f468e-9b08-4fd1-a02a-cd6b332ce829\Report.wer","15444","2026-08-02 上午 11:53:13","2026-08-02 上午 11:53:13","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_2261ca98-83bf-40c1-90ac-158083ed0b12\Report.wer","15440","2026-08-10 下午 11:22:15","2026-08-10 下午 11:22:15","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_2b9bcd03-420a-4ee7-819b-0a453c44d687\Report.wer","15074","2026-08-02 下午 12:52:17","2026-08-02 下午 12:52:17","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_37b7b600-1b07-42a6-8d3e-adc628e91818\Report.wer","25398","2026-08-01 下午 10:39:07","2026-08-01 下午 10:39:07","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_40ea65cd-c50a-4e38-bc28-427aacd0d4f8\Report.wer","15382","2026-07-25 上午 11:59:06","2026-07-25 上午 11:59:06","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_523114a2-b246-4818-9227-43744288e463\Report.wer","15382","2026-08-10 下午 05:21:25","2026-08-10 下午 05:21:25","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_58c7301f-571d-4f92-841c-df4a26b564cc\Report.wer","13480","2026-08-07 下午 03:45:56","2026-08-07 下午 03:45:56","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_5bf202c2-2503-47ca-8127-d9734520ec08\Report.wer","13734","2026-07-25 下午 02:16:39","2026-07-25 下午 02:16:39","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_5f536818-fef5-4728-a2b9-6a40e3f2c92f\Report.wer","13740","2026-08-01 下午 10:40:23","2026-08-01 下午 10:40:23","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_6eb50cd9-9962-42da-9510-2a20656022e9\Report.wer","13738","2026-08-01 下午 03:26:18","2026-08-01 下午 03:26:18","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_7d035293-2bbe-41f6-8e8b-ab6d7836f4d4\Report.wer","13516","2026-08-03 下午 08:20:30","2026-08-03 下午 08:20:30","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_827d9a7f-78b8-485b-b42b-291ce12d195c\Report.wer","15442","2026-08-01 下午 04:56:21","2026-08-01 下午 04:56:21","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_890b64ef-4a3a-4829-aedc-75fadd7b9a0e\Report.wer","15438","2026-07-30 下午 05:54:03","2026-07-30 下午 05:54:03","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_93b7b298-edaa-4c70-93f6-a1660d1704be\Report.wer","15340","2026-07-27 下午 12:33:51","2026-07-27 下午 12:33:51","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_9431d030-35d1-4206-a4f0-f1c90ae0f299\Report.wer","13482","2026-07-31 下午 09:03:17","2026-07-31 下午 09:03:17","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_b211a040-db25-46d0-af78-646121aa6b91\Report.wer","27060","2026-07-26 下午 06:38:55","2026-07-26 下午 06:38:55","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_bfeb0607-e1b1-48b0-be95-6f959897d5c1\Report.wer","15476","2026-07-28 下午 07:42:41","2026-07-28 下午 07:42:41","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_c1d359c7-bb1b-4376-8865-9b186db990c2\Report.wer","15278","2026-08-05 下午 08:56:45","2026-08-05 下午 08:56:45","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_cee2273e-9a56-4b76-8250-d3479daf0691\Report.wer","15072","2026-08-02 下午 12:52:00","2026-08-02 下午 12:52:00","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_debb5248-ca54-443d-b095-867540196cf6\Report.wer","15074","2026-08-02 下午 12:52:31","2026-08-02 下午 12:52:31","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_e5251f47-f6ee-4b5d-a65e-e94f6ad59b58\Report.wer","26908","2026-08-01 下午 03:12:21","2026-08-01 下午 03:12:21","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_71c7232fb189d9314c99d59c9e27651cc53a6a9_e0bca807_eb211aa7-7ff5-449d-a3c2-c6072188155a\Report.wer","15066","2026-08-11 上午 01:09:58","2026-08-11 上午 01:09:58","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_7f2b667b14109bf216e9e13398e5ffca5349ee97_e0bca807_ee391280-3751-4122-8f22-21861debb0ba\Report.wer","11814","2026-08-02 下午 12:20:21","2026-08-02 下午 12:20:21","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_83254d8f9d5a6ec1243c9fa021dcafc59d838288_12b39a23_1303bda8-716e-4b88-a9b2-08a1f35fa37a\Report.wer","13484","2026-07-18 下午 12:36:56","2026-07-18 下午 12:36:56","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_83254d8f9d5a6ec1243c9fa021dcafc59d838288_12b39a23_16f81de0-94e4-491e-b1bb-319eeb5a7a83\Report.wer","13680","2026-07-17 下午 08:24:52","2026-07-17 下午 08:24:52","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_comet.exe_83254d8f9d5a6ec1243c9fa021dcafc59d838288_12b39a23_42b3da53-d11b-4dfe-b33f-f35627cb1b9b\Report.wer","15438","2026-07-23 下午 06:08:28","2026-07-23 下午 06:08:28","Archive, Compressed, NotContentIndexed"
