"实体","领域","维度","赏罚方向","原始量表达式","料源表","料源列","本次料源状态","证据等级","备注"
"玩家","D06 收入","流水贡献","赏（越大越好）","validbet × (1 − hedge_rate)","K01_risk_feature_matrix","validbet、hedge_rate","🟢 料源在位","E1","剔对打嫌疑流水后的真实洗码量；本次渲染可现算"
"玩家","D07 盈利","游戏输赢贡献","赏（越大越好）","−Σ game_pnl（平台视角取负号）","B01_bt_panel","game_pnl","🟢 料源在位","E1","GGR 口径，剔退水；本次渲染可现算"
"玩家","D04 活跃","活跃稳定","赏（越大越好）","n_days ÷ 在册跨度","K01_risk_feature_matrix ＋ B01_bt_panel","n_days、bet_date","🟢 料源在位","E1","出勤率；本次渲染可现算"
"玩家","D04 活跃","投注产品结构熵","赏（越大越好）","side_entropy","K01_risk_feature_matrix","side_entropy","🟢 料源在位","E1","专攻高赔率边注者熵低；本次渲染可现算"
"玩家","D05 留存","生命周期阶段","赏（越大越好）","跨度 × exp(−距末次下注天数 ÷ 14)","B01_bt_panel","bet_date","🟢 料源在位","E1","衰减常数 14 日为情景参数，非估计量；本次渲染可现算"
"玩家","D08 风险","索提诺稳定性","罚（越大越糟）","日净额均值 ÷ 下行标准差","B01_bt_panel","net_pnl、validbet","🟢 料源在位","E2","**在罚侧**：赢得稳才是持续正向优势之指纹；本次渲染可现算"
"玩家","D08 风险","对打指数","罚（越大越糟）","max(opposite_rate)","C06_hedge_pairs","m_a、m_b、opposite_rate","🟢 料源在位","E1","完全反向即 1；本次渲染可现算"
"玩家","D11 网络","批量注册嫌疑","罚（越大越糟）","1 ÷ (1 + 最小搭档号距)","C06_hedge_pairs","m_a、m_b","🟢 料源在位","E2","号距为代理量，注册时戳不可得；本次渲染可现算"
"玩家","D11 网络","IP结构风险","罚（越大越糟）","max(member_per_chain) × (1 + 稀疏段命中)","C01_ip_chain ＋ C08_subnet_sparse","member_per_chain","🟢 料源在位","E1","**须条件化**：不滤 CGNAT 则榜首为电信基础设施；本次渲染可现算"
"玩家","D08 风险","人工标记史","罚（越大越糟）","是否在人工風險單名单","K01b_seed_manual","member_id","🟢 料源在位","E1","金标准正例来源之一；本次渲染可现算"
"荷官","D06 收入","在桌洗码量","赏（越大越好）","Σ stake_amount","R03_player_dealer","dealer_id、stake_amount","🟢 料源在位","E1","荷官桌上的有效投注；本次渲染可现算"
"荷官","D04 活跃","客群广度","赏（越大越好）","该荷官服务过的独立会员数","R03_player_dealer","dealer_id、uid","🟢 料源在位","E1","去重会员数；本次渲染可现算"
"荷官","D09 效率","当值时长","赏（越大越好）","有在场记录的营业日数","R03b_player_dealer_daily","dealer_id、bet_date","🟢 料源在位","E2","**日粒度代理量**：本包无开台／收台时戳；本次渲染可现算"
"荷官","D09 效率","节奏稳定度","赏（越大越好）","1 ÷ (1 + 日局数变异系数)","R03b_player_dealer_daily","dealer_id、bet_date、n_rounds_eff","🟢 料源在位","E2","衡量节奏稳不稳，**不衡量快不快**，不可替代局速；本次渲染可现算"
"荷官","D08 风险","对打局占比","罚（越大越糟）","对打名单会员注额 ÷ 在桌洗码量","R03_player_dealer ＋ C06_hedge_pairs","dealer_id、uid、stake_amount、opposite_rate","🟢 料源在位","E2","**归因口径**；本次渲染可现算"
"荷官","D08 风险","异常对关联","罚（越大越糟）","对打名单客数 ÷ 客群广度","R03_player_dealer ＋ C06_hedge_pairs","dealer_id、uid、opposite_rate","🟢 料源在位","E2","同上；本次渲染可现算"
"荷官","D08 风险","風險單密度","罚（越大越糟）","人工种子会员注额 ÷ 在桌洗码量","R03_player_dealer ＋ K01b_seed_manual","dealer_id、uid、stake_amount","🟢 料源在位","E2","同上；本次渲染可现算"
"荷官","D11 网络","特定玩家复现率","罚（越大越糟）","前五大客注额 ÷ 在桌洗码量","R03_player_dealer","dealer_id、uid、stake_amount","🟢 料源在位","E1","集中度诊断；本次渲染可现算"
"代理","D01 获客","线下规模","赏（越大越好）","该线活跃会员数","I_ip_player","lv3、member_id","🟢 料源在位","E1","LV3 线粒度；本次渲染可现算"
"代理","D06 收入","真实流水","赏（越大越好）","Σ validbet × (1 − hedge_rate)","I_ip_player ＋ K01_risk_feature_matrix","lv3、member_id、validbet、hedge_rate","🟢 料源在位","E1","剔对打后的洗码量；本次渲染可现算"
"代理","D05 留存","下线留存","赏（越大越好）","相邻月留存率均值","I_ip_player ＋ P_player_month","lv3、member_id、ym","🟢 料源在位","E1","逐月交集比；本次渲染可现算"
"代理","D01 获客","新增会员质量","赏（越大越好）","新客首月净贡献均值","I_ip_player ＋ P_player_month","lv3、member_id、ym、net_pnl","🟢 料源在位","E2","「拉客人」与「拉人头」之别；本次渲染可现算"
"代理","D08 风险","对打渗透率","罚（越大越糟）","线下进入对打名单者 ÷ 线下会员数","I_ip_player ＋ C06_hedge_pairs","lv3、member_id、opposite_rate","🟢 料源在位","E1","**归因口径**；本次渲染可现算"
"代理","D11 网络","单链密度","罚（越大越糟）","线下会员所踩 IP 的 member_per_chain 最大值","I_ip_player ＋ C01_ip_chain","lv3、bet_ip、member_per_chain","🟢 料源在位","E1","一条线塞几千号；本次渲染可现算"
"代理","D07 盈利","退水消耗比","罚（越大越糟）","线下退水支出 ÷ 线下游戏赢利","I_ip_player ＋ B01_bt_panel","lv3、member_id、net_pnl、game_pnl","🟢 料源在位","E2","洗码链的命门；分母非正者按 1 计并点名；本次渲染可现算"
"风控专员","D09 效率","标注产量","赏（越大越好）","关注名单条数","S04_analyst_score","—","◻️ 本报告不计算（留位存血统）","E1","**本报告不计算**：先生本次点名三实体，专员留位以存血统；先生本次点名玩家／荷官／代理三实体"
"风控专员","D11 网络","覆盖IP广度","赏（越大越好）","标注覆盖的独立 IP 数","S04_analyst_score","—","◻️ 本报告不计算（留位存血统）","E1","同上；先生本次点名玩家／荷官／代理三实体"
"风控专员","D10 质量","判定详尽度","赏（越大越好）","备注字数","S04_analyst_score","—","◻️ 本报告不计算（留位存血统）","E1","同上；先生本次点名玩家／荷官／代理三实体"
"风控专员","D09 效率","登记跨度","赏（越大越好）","首末登记时间跨度","S04_analyst_score","—","◻️ 本报告不计算（留位存血统）","E1","同上；先生本次点名玩家／荷官／代理三实体"
"风控专员","D10 质量","理由空白率","罚（越大越糟）","理由空白数 ÷ 标注产量","S04_analyst_score","—","◻️ 本报告不计算（留位存血统）","E1","同上；先生本次点名玩家／荷官／代理三实体"
"风控专员","D09 效率","标注停滞度","罚（越大越糟）","距全体最近登记日天数 ÷ 该员登记跨度","S04_analyst_score","—","◻️ 本报告不计算（留位存血统）","E1","同上；先生本次点名玩家／荷官／代理三实体"
