__source_pk,dt,id,account_type,gid,area,parentid,source_db,source_table,ods_table_name,sync_time
0004192c18d02e341b72c43bf317e447,2026-07-23,29906,A,101,SuperTie0,23616,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0007d2eb545375a972c1243fab0f8833,2026-07-23,55707,A,102,DragonOdd,55701,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0035c396175a8a2ac27b82b3cf8f0537,2026-07-23,36357,A,102,TigerEven,36335,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
003ecc36bf5b36efb8231e6441f90729,2026-07-23,52490,A,102,DragonOdd,52487,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
00415f39506004102ce100b5322e8cff,2026-07-23,40867,A,102,TigerOdd,40865,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0048040b8a61c20bed0c577bb3186a3f,2026-07-23,52584,A,102,DragonRed,52583,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0072af11d8757daf9fee8b0debf2a151,2026-07-23,19782,A,101,SuperTie6,19409,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
007c8e36d788b028ee0fed4b008ad3fc,2026-07-23,36144,A,102,DragonEven,36099,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
00bf33b4a21ef0255d8125e28ce88387,2026-07-23,34364,A,101,SuperTie5,30217,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
00c84e94c7dd1a74010556a8d57ec713,2026-07-23,39180,A,101,PlayerNatural,39179,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
00c91b77f98cbca1a1ff942b356c42b4,2026-07-23,42661,A,102,DragonBlack,40857,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
00cdd8918f63904827edde630375774c,2026-07-23,38824,A,102,DragonBlack,0,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0109b64b0a3474e12435865c1e81e025,2026-07-23,39182,A,101,SuperTie9,39181,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0146e91d1e1f73d3d315b3a82ae377a1,2026-07-23,40650,A,102,DragonEven,40649,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
015130c1dd83b845112c09d9122d51a0,2026-07-23,50307,A,102,DragonRed,50266,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01632cbca81a93426da001670d930d43,2026-07-23,36532,A,102,TigerBlack,36529,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0187ff3b4b0c28d575ca42d869242357,2026-07-23,40912,A,102,DragonOdd,35603,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01a4a672623ddaf32cc3442dfcde8860,2026-07-23,39664,A,102,TigerRed,39662,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01ba9f1787ad162d31ce485638fa9798,2026-07-23,38985,A,102,DragonRed,35261,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01c2d4e97fb3dcddf5d24e71b9593a8e,2026-07-23,42658,A,102,TigerBlack,40857,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01cbcd899c888734823d8b6efeac9009,2026-07-23,39936,A,102,DragonBlack,39918,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01cfff357dbfd2f52a3bd8596b5c3c46,2026-07-23,28759,A,101,SuperTie4,28741,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
01dccfcd1878b1cd5d958b8dfb39504a,2026-07-23,50345,A,102,TigerBlack,50271,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
022b81754cb4086f99a39a17e787ef90,2026-07-23,40048,A,102,TigerEven,35348,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
024fc5ea1f6e7aca1d0012fd86fd0ab6,2026-07-23,40062,A,102,TigerOdd,35261,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
02558b06048506ec3331031efa5e3690,2026-07-23,38387,A,102,DragonEven,36592,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0287ea1a77055e95f969bd4ac4999e8e,2026-07-23,35590,A,102,DragonEven,35342,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
0296237d632bbd38b6c3fb42bc4a4a18,2026-07-23,41548,A,101,SuperTie1,19141,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
02a0c1b3f920021b32dd4eb905fb7d20,2026-07-23,44552,A,102,TigerRed,44551,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
02b2edbc32e78018b18050a502bacebc,2026-07-23,56958,A,102,TigerEven,56957,a168,ban_bet_area,ods_a168_ban_bet_area,2026-07-23 04:00:06
