__source_pk,dt,mid,code,username,password,enable,createTime,source_db,source_table,ods_table_name,sync_time
31e76c1d91cdef4472b2b64303409697,2022-02-25,35379085,5009,wm_35379085,,Y,2022-02-25 21:57:24,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
41666ffd65e8358facddf3cf39845308,2022-02-25,38686623,5009,wm_38686623,,Y,2022-02-25 18:32:49,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
8b5a4f7966c0ac52bfbc8a6b08f887a9,2022-02-25,39268297,5011,wm_39268297,,Y,2022-02-25 22:11:02,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
4c06cdfb6590ec624d114363c8c4b4de,2022-03-11,40019165,5009,wm_40019165,,Y,2022-03-11 00:31:40,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
8f3ac368d53f028d0f697c8431b4f4bf,2022-03-11,35437754,5009,wm_35437754,,Y,2022-03-11 14:11:52,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
238df2baa2cdc4d378383863029940fc,2022-06-03,20901102,5011,wm_20901102,,Y,2022-06-03 06:33:56,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
20eaea08637550488afc27507f0dcfa2,2022-06-09,44530815,5011,wm_44530815,,Y,2022-06-09 17:26:42,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
3c0ce189c75ce662bd23394e6f8794bc,2022-07-16,48390551,5009,wm_48390551,,Y,2022-07-16 22:28:38,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
2df2513c4d632d69438325fd43157be7,2022-09-02,39799717,5011,wm_39799717,,Y,2022-09-02 10:10:10,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
26c4e59620bd3b6977f9aa1ce3ec2100,2022-07-20,48612821,5011,wm_48612821,,Y,2022-07-20 12:15:12,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
46455d22f41e91b3133b6cd9dff926a4,2022-07-20,36488091,5009,wm_36488091,,Y,2022-07-20 14:29:46,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
f4b723ada4cc86e277cd9ab78921d159,2022-08-04,49604129,5009,wm_49604129,,Y,2022-08-04 11:56:04,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
78cf0284f54e72849904494648a44291,2022-10-05,46118561,5009,wm_46118561,,Y,2022-10-05 00:38:44,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
ebdfba6b98c81375b9f80963263f9aa2,2022-10-05,53297534,5009,wm_53297534,,Y,2022-10-05 08:51:55,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
9a0eedeee02ebc8e347436c5d554d68d,2022-12-15,60176083,5011,wm_60176083,,Y,2022-12-15 15:00:41,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
83969660602391711451236ed315e9e3,2022-11-29,55366025,5011,wm_55366025,,Y,2022-11-29 14:49:01,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
99adfd557820c340eb21a65afd3328e0,2022-11-29,13550761,5011,wm_13550761,,Y,2022-11-29 05:10:16,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
13f389f82ae9bf1e802e79299d9ebb8a,2023-01-10,62168814,5011,wm_62168814,,Y,2023-01-10 14:58:34,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
3e18039d884c61b67dc76b205e8daaa6,2023-01-10,35515747,5011,wm_35515747,,Y,2023-01-10 12:00:07,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
5749d2041b05cbba4fa0e8a52c8bf046,2023-02-04,35418121,5011,wm_35418121,,Y,2023-02-04 20:16:04,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
292fb6cfaa7a223a3b217627a67477a3,2024-12-21,123151683,5031,wm_123151683,,Y,2024-12-21 03:08:30,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
85437a951e1d308da7ffa6151c0591d8,2024-12-21,123171601,5031,wm_123171601,,Y,2024-12-21 14:59:49,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
a82cc10f08073038237bcf171447f85e,2024-12-21,123164278,5031,wm_123164278,,Y,2024-12-21 12:04:44,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
4d7e53d79327ae3c92d8f0d2966a9c54,2024-11-30,122020105,5031,wm_122020105,,Y,2024-11-30 15:00:42,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
025fdc9e288be8eed4b0b5132d3b75a6,2025-01-16,122770538,5031,wm_122770538,,Y,2025-01-16 02:03:38,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
331ea757c7a887c91237846bd858960f,2025-01-16,124526447,5031,wm_124526447,,Y,2025-01-16 00:06:04,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
35ec03918cc5e4c65047aa0e1b69316b,2025-01-16,124539864,5031,wm_124539864,,Y,2025-01-16 08:50:11,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
f3370b5886c388b13548ac68b2526f2e,2025-01-30,125292662,5031,wm_125292662,,Y,2025-01-30 03:12:24,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
8210917dfc3861f39d361365c50a4061,2025-02-19,126550546,5031,wm_126550546,,Y,2025-02-19 13:37:34,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
35787a829a1891fee30915e739dffdbb,2025-03-03,127193951,5031,wm_127193951,,Y,2025-03-03 21:37:32,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
cebd6995c85df060f9a7620d521696ba,2025-06-22,133626325,5031,wm_133626325,,Y,2025-06-22 23:08:32,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
d2b439f2751906da8aea511715beb2e7,2025-06-22,133605539,5031,wm_133605539,,Y,2025-06-22 16:31:00,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
c356e4fc21cc7a2598a2c022e579a7cd,2025-06-19,133385946,5031,wm_133385946,,Y,2025-06-19 01:37:22,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
401f6d149120a3bee4a1278a9cf53924,2025-08-21,136851985,5031,wm_136851985,,Y,2025-08-21 19:56:54,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
b1510abbe3beb8d0a6f270211f59b2e1,2025-08-21,136826792,5031,wm_136826792,,Y,2025-08-21 09:11:39,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
78c30bdbb94d801c5f85238225eb228e,2025-09-24,139185214,5031,wm_139185214,,Y,2025-09-24 05:09:28,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
daaf912ee00b744514d1c5786808d785,2025-11-29,142796195,5031,wm_142796195,,Y,2025-11-29 09:05:08,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
1262bf1c09b375d5afe0a53241a1cfb4,2026-01-03,144267804,5031,wm_144267804,,Y,2026-01-03 09:05:06,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
74d086da6ac6c3b6643f1a49df6ec088,2026-02-04,140864959,5031,wm_140864959,,Y,2026-02-04 13:11:55,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
9a3bbb268f6dd19aae25316ea7323ec3,2026-02-04,145739333,5031,wm_145739333,,Y,2026-02-04 10:21:11,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
5a40d10bad52bdf78d60d3beb8317979,2026-03-11,147149785,5031,wm_147149785,,Y,2026-03-11 19:36:19,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
04962de1ee2f43d1a856733edd6517ce,2026-04-10,148431848,5031,wm_148431848,,Y,2026-04-10 00:20:18,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
25eb07735c7cb456b779af2f7dfd0c52,2026-06-29,152214011,5031,wm_152214011,,Y,2026-06-29 03:30:45,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
fdc8c6b3407484f0ac25ef8da818ea4d,2022-01-01,35372831,5009,wm_35372831,,Y,2022-01-01 17:25:04,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
1d671e94fd85e54db3eb6559fea99925,2022-03-07,39732041,5011,wm_39732041,,Y,2022-03-07 18:02:27,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
2e32375b8f598707892965daab3e472c,2022-03-07,39786786,5009,wm_39786786,,Y,2022-03-07 18:59:27,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
d49c353ff60c058556477cc52844413f,2022-03-07,39769119,5009,wm_39769119,,Y,2022-03-07 10:20:44,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
ef24d114ffebd84c4278ee7b0fb2069b,2022-03-07,39764929,5009,wm_39764929,,Y,2022-03-07 06:35:24,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
2f6292937c7662c87eb01870b28a9d77,2022-05-12,44423084,5009,wm_44423084,,Y,2022-05-12 23:16:45,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
483ae05bbafbbab1cabdecaca7b4f6b3,2022-05-12,44271065,5009,wm_44271065,,Y,2022-05-12 15:46:43,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
e28811bf1415a76c5c438ac24abb9da5,2022-05-12,37627400,5009,wm_37627400,,Y,2022-05-12 11:55:43,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
32ae0bc1da662c636c1307b2fce830cc,2022-09-02,51409691,5009,wm_51409691,,Y,2022-09-02 02:08:58,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
63d89eae63e7a7419f339d4eec10eb0f,2022-09-02,51197006,5009,wm_51197006,,Y,2022-09-02 19:28:34,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
700c58a011d1aea405723744a42b65f2,2022-12-16,35377757,5011,wm_35377757,,Y,2022-12-16 06:54:18,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
d997f788a1ced3be24be6d1099fc1511,2023-02-01,63707391,5011,wm_63707391,,Y,2023-02-01 08:44:18,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
72b134c3e85ec7a7c4a55f5100dbf506,2024-01-27,98875852,5031,wm_98875852,,Y,2024-01-27 02:51:57,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
0ba40ae5baa451304698a0cd9e14547f,2024-12-03,122215447,5031,wm_122215447,,Y,2024-12-03 22:01:17,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
8edaeeb30f4dd13865e9879c11fe1e30,2024-12-03,122222611,5031,wm_122222611,,Y,2024-12-03 23:52:44,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
100b83eeebb1e1cad4be92f89c320fa0,2025-01-16,124528229,5031,wm_124528229,,Y,2025-01-16 00:51:50,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
71533f74098793188ed414efc8651f10,2025-01-16,122792551,5031,wm_122792551,,Y,2025-01-16 08:51:43,a168,member_partner_account,ods_a168_member_partner_account,2026-07-23 06:00:58
