column_name,presence,type_bet01,type_bet02,comment_bet01,comment_bet02,ord_bet01,ord_bet02,ord_shift,type_match,comment_match,ruling_id,ruling_verdict,evidence_grade,evidence_source,economic_path_status,admit_to_risk_decision,deliverable_class,audit_rn,batch_id,run_id,snapshot_sync_time
bet33,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); LV1結果",,36,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet34,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); LV2結果",,37,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet35,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); LV3結果",,38,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet36,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); LV4結果",,39,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet37,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); LV5結果",,40,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet38,BET02_ONLY,,varchar(65533),,"source_type=enum(''Y'',''N''); 重對",,41,,NOT_COMPARABLE,NOT_COMPARABLE,R-38,重对标记 —— 全包窗内取 N,OBSERVED,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet39,BET02_ONLY,,varchar(65533),,source_type=int(11); 桌子編號,,42,,NOT_COMPARABLE,NOT_COMPARABLE,R-39,桌号（table_id）—— 实测基数三十，为 round_key 三键之一,OBSERVED,#DICT_01b_roundkey_card · #Z08_roundkey_integrity,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet40,BET02_ONLY,,varchar(65533),,source_type=int(11); 房間編號,,43,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet41,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); 下注退水金額",,44,,NOT_COMPARABLE,NOT_COMPARABLE,R-41,"★ 与 validbet 逐位相同者 125,653,747 行、相异 964 行、最大差 1,000,000 —— 恒等式须收窄为 CONDITIONAL，非全等",OBSERVED,#VB_41_identity_global · #VB_41c1_964_detail · #VB_41c2_concentration,CANDIDATE,FALSE,DICTIONARY_SEMANTIC_RULING,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
resultwalletid,BET02_ONLY,,varchar(65533),,source_type=varchar(50); 結算單一錢包用,,46,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
validbet,BET02_ONLY,,varchar(65533),,"source_type=decimal(16,4); 有效投注",,47,,NOT_COMPARABLE,NOT_COMPARABLE,R-VB,有效投注 —— 与 bet41 同上；零值注单占记录 7.60%、占会员 50.33%，其 mu0 近零，系对冲/免佣之经济指纹,OBSERVED,#VB_00_validbet_contract · #VB_00b_zero_five_rates · #P01D_vs_validbet,CANDIDATE,FALSE,DICTIONARY_SEMANTIC_RULING,11,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
__source_pk,BOTH,varchar(64),varchar(64),源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,1,1,0,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,12,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
dt,BOTH,date,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,2,2,0,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,13,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet01,BOTH,varchar(65533),varchar(65533),source_type=bigint(20); 注單編號,source_type=bigint(20); 注單編號,3,3,0,TYPE_SAME,COMMENT_SAME,R-01,注单主键 —— 去重以 PARTITION BY bet01 为准；bet01 身份与 ROW_NUMBER 并列检测（M0-6）尚未补，去重正确性之地基待验,CONDITIONAL,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,14,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet02,BOTH,varchar(65533),varchar(65533),source_type=int(11); 遊戲類別編號,source_type=int(11); 遊戲類別編號,4,4,0,TYPE_SAME,COMMENT_SAME,R-02,产品码 —— 百家乐口径恒为 101；全包窗内一律 bet02 = '101',OBSERVED,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,15,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet03,BOTH,varchar(65533),varchar(65533),"source_type=decimal(12,0); 場次編號","source_type=decimal(12,0); 場次編號",5,5,0,TYPE_SAME,COMMENT_SAME,R-03,靴×桌复合键 —— 实测 nd_bet03 = nd_shoe_table，跨桌数为 0,OBSERVED,#DICT_01b_roundkey_card · #Z08_roundkey_integrity,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,16,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet04,BOTH,varchar(65533),varchar(65533),source_type=int(11); 子場次編號,source_type=int(11); 子場次編號,6,6,0,TYPE_SAME,COMMENT_SAME,R-04,局内序号 —— 实测基数数十、上限百余，非桌号,OBSERVED,#DICT_01b_roundkey_card,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,17,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet05,BOTH,varchar(65533),varchar(65533),source_type=int(11); 會員編號,source_type=int(11); 會員編號,7,7,0,TYPE_SAME,COMMENT_SAME,R-05,会员号 —— q 侧谓词 bet05 > 0 之对象；不受 bet14 起错位影响,OBSERVED,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,18,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet06,BOTH,varchar(65533),varchar(65533),source_type=datetime; 開局時間,source_type=datetime; 開局時間,8,8,0,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,19,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet07,BOTH,varchar(65533),varchar(65533),source_type=date; 帳務日期,source_type=date; 帳務日期,9,9,0,TYPE_SAME,COMMENT_SAME,R-07,账期 —— 与分区列 dt 100% 一致；日期切割一律用 dt 字面量,OBSERVED,#Z09_time_axis_recon,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,20,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet08,BOTH,varchar(65533),varchar(65533),source_type=datetime; 下注時間,source_type=datetime; 下注時間,10,10,0,TYPE_SAME,COMMENT_SAME,R-08,下注时间 —— DATE(bet08) 与 dt 不符率实测 38.60%，禁作日期切割,OBSERVED,#Z09_time_axis_recon,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,21,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet09,BOTH,varchar(65533),varchar(65533),source_type=varchar(100); 下注內容,source_type=varchar(100); 下注內容,11,11,0,TYPE_SAME,COMMENT_SAME,R-09,注型 —— 族别决定庄家优势，注型 edge 向量之分组键,OBSERVED,#QSB_02c_push_by_family · #R03chk_settlement_form,CANDIDATE,FALSE,DICTIONARY_SEMANTIC_RULING,22,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet10,BOTH,varchar(65533),varchar(65533),source_type=int(11); 幣別,source_type=int(11); 幣別,12,12,0,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,23,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet11,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); 匯率","source_type=decimal(16,4); 匯率",13,13,0,TYPE_SAME,COMMENT_SAME,R-11,汇率 —— ODS 存原币，金额须乘 bet11 方为折算值,OBSERVED,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,24,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet12,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); 起始點數","source_type=decimal(16,4); 起始點數",14,14,0,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,25,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet12a,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); 起始籌碼","source_type=decimal(16,4); 起始籌碼",15,15,0,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,26,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
