序号,CSV名称,实体,net_margin,risk_usage,声明分区,实际谓词,六层段列数,逾基准列数,源维度(原列),建议层
1,A_anchor.csv,IP,OK,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,g.ip|n_orders|n_member|first_dt|last_dt,I 可采
2,B01_bt_panel.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|bet_date|stake|game_pnl|net_pnl|rebate|validbet|n_rounds|n_tables|n_ip|late_def|late_share_d|hedge_rate_d|stake_cv_d,III 先修粒度
3,B01_bt_panel_delta.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|bet_date|stake|game_pnl|net_pnl|rebate|validbet|n_rounds|n_tables|n_ip|late_def|late_share_d|hedge_rate_d|stake_cv_d,III 先修粒度
4,B4_2b_funnel_and_mu0.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,n_raw|f.n_g1|f.n_g2|f.n_g3|f.n_g4|f.n_g5|f.n_g6|f.n_g7|f.n_g8|f.n_lv1|f.n_lv2|f.n_lv3|f.n_lv4|f.n_lv5|f.n_any_test|mu0_global_dirty_ew_pct|mu0_global_clean_ew_pct|contamination_pp|n_groups|mu0_min_pct|mu0_max_pct|abs_min|abs_max|n_near_zero|spread_ratio|verdict_spread,III 先修粒度
5,B4_5b_tip_nature.csv,IP,OK,SCREENING,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,bet09_value|n_rows|n_members|n_days|n_b13_blank|n_b13_zero|n_b13_pos|n_b14_blank|n_b14_zero|n_b14_pos|n_both_pos|n_b13pos_b14zero|b13_sum|b14_sum|n_comm|verdict_nature,I 可采
6,B_online_base.csv,桌台,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_id|sec_elapsed|n_orders|n_player|n_rounds|valid_bet|game_pnl,III 先修粒度
7,C01_ip_chain.csv,IP,OK,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,135,12,bet_ip|n_member|n_lv3_chain|n_lv1_chain|n_lv2_chain|n_lv4_chain|n_lv5_chain|n_chain_key,I 可采
8,C06_hedge_pairs.csv,IP,WRONG_GRAIN,SCREENING,hedge（h.n_side >= 2）,hedge（h.n_side >= 2）,123,0,bet_ip|m_a|m_b|n_same_round|n_opposite_round|opposite_rate|hedge_coverage,II 描述
9,C06d_hedge_pairs_dated.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,hedge（h.n_side >= 2）,hedge（h.n_side >= 2）,123,0,a.bet_ip|m_a|m_b|n_same_round|n_opposite_round|opposite_rate|first_opposite_dt|last_opposite_dt|n_opposite_days,III 先修粒度
10,C08_subnet_all.csv,网段,INVALID,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,130,7,subnet_24|n_ip|n_member|n_lv3_chain|n_lv1_chain|n_lv2_chain|n_lv4_chain|n_lv5_chain,II 描述
11,C08_subnet_sparse.csv,网段,INVALID,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,130,7,subnet_24|n_ip|n_member|n_lv3_chain|n_lv1_chain|n_lv2_chain|n_lv4_chain|n_lv5_chain,II 描述
12,D03S_daily_roi_diff.csv,日期,OK,REFERENCE,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,bet_date|n_rounds|vb_tail|vb_norm|roi_tail|roi_norm|roi_diff,II 描述
13,DICT_01a_bet41_tri.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,scope|n_rows|sum_stake|sum_validbet|sum_bet41|sum_bet16|r41_vb|r16_vb|r_vb_stake|avg_bet15_pct|n_41_eq_vb|n_41_eq_16|pct_41_eq_vb|verdict_bet41,III 先修粒度
14,DICT_01b_roundkey_card.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,scope|n_rows|nd_bet03|nd_bet04|nd_bet39|nd_bet40|min_bet04|max_bet04|min_bet39|max_bet39|nd_round_key|nd_shoe_table|avg_bets_per_round|verdict_key,III 先修粒度
15,DICT_01c_dimension.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,scope|n_rows|avg_validbet|max_bet23|avg_bet23|max_bet27|max_bet28|avg_bet28|max_bet32|max_bet15|avg_sum_comm|verdict_dimension,III 先修粒度
16,DICT_01d_bet_latency.csv,全窗/元数据,OK,REFERENCE,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_id|n_rows|n_members|n_b06_null|n_b08_null|n_negative|lat_min|lat_avg|lat_max|lat_p01|lat_p50|lat_p99|lat_sd|verdict_latency,II 描述
17,DX04_bet09_profile.csv,产品,OK,SUPPORT,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,bet_side|n_orders|n_member|stake_total|player_pnl|house_hold_pct|win_rate_base|avg_stake|stake_cv,I 可采
18,DX05_product_panorama.csv,产品,OK,SUPPORT,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,product_code|scope|n_orders|n_member|n_dealer|stake_total|validbet_total|player_pnl|ggr|house_hold_pct|rebate_total|rebate_rate|order_share|stake_share,I 可采
19,E02_segment_econ.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,segment|n_member|validbet|ggr|rebate|commission|comm_scale|reb_scale|tenure_months,III 先修粒度
20,EV01_disposal_events.csv,日期,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,event_id|event_time|event_date|fn|operator|operator_ip|event_type|member_login|table_ref|round_ref|whitelist_ip|is_cancel|content_len,III 先修粒度
