bet09,is_free_comm,stake_share,n_bets,observed_hold_pooled,rule_reference_edge,rule_reference_source,relative_deviation,consistency,house_edge,status,edge_version,effective_from,effective_to,note
Banker,0,0.45339,42343486,0.01163251,0.010579,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,0.099585,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Player,0,0.388688,40497084,0.0122638,0.012351,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,-0.00706,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Banker,1,0.071368,4134815,0.01202656,0.0146,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,-0.176263,OBSERVED_GAP,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Player,1,0.052034,3390730,0.01113116,0.012351,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,-0.098764,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Tie,0,0.01001,9110912,0.15064764,0.1436,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,0.049078,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Super6,0,0.005009,4266751,0.2047555,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
BPair,0,0.004845,5537851,0.10531478,0.103614,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,0.016415,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
PPair,0,0.004733,5408675,0.10156726,0.103614,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,-0.019754,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Lucky7,0,0.003994,4050652,0.18176448,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
SuperLucky7,0,0.001485,2899197,0.1681262,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
