缺陷编号,件号,CSV名称,证据级,缺陷,实测证据,建议处置
G-05,018,DX05_product_panorama.csv,OBSERVED（交付件实证）,六层连接键族别错配,x_agg.x_key = s.x_product（bet09 注种）；q.product_code = r.bet02（游戏类别）。交付件实测 141 列中 127 列恒 NULL；product_code 取值 101/102/103/104/105/107/108/5031 系 bet02 而非 bet09,校正连接键至同族，或改以 bet09 重建 q 侧；校正前须标 TEMPLATE_NOT_JOINED，并禁止引用其六层列
G-05,005,B4_5b_tip_nature.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_product（bet09）；q.bet09_value 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,045,P11_阿泽尾段投注模型会员名单.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_member（bet05）；q.player_id 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,048,P12b_member_events.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_member（bet05）；q.uid 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,049,P12c_member_daily_pnl.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_member（bet05）；q.uid 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,050,P13_personal_entry.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_member（bet05）；q.uid 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,051,PH0_8r1_rg_case.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_member（bet05）；q.target_id 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,059,QSB_01c_cat1_contamination.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_product（bet09）；q.bet09_value 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,079,S04_analyst_score.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_member（bet05）；q.entity_id 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,102,VB_41b_identity_strata.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_product（bet09）；q.bet09_value 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,103,VB_41b_identity_strata_v18b.csv,SUSPECT（静态扫描命中，未取数验证）,六层连接键疑似族别错配,x_agg.x_key = s.x_product（bet09）；q.bet09_value 之源字段未能由单行正则定位，须人工逐件核,逐件核 q 侧源字段；若同族即销案，若异族按 #018 处置。★ 未经取数验证，不得据此改码
G-05,064,R01_late_shoe.csv,CLEARED（已核销）,（误报）,q.uid 之源字段实为 member_id，与 x_agg.x_key = s.x_member 同族,无须处置
G-05,065,R01_late_shoe_w2.csv,CLEARED（已核销）,（误报）,q.uid 之源字段实为 member_id，与 x_agg.x_key = s.x_member 同族,无须处置
G-05,069,R02_same_table.csv,CLEARED（已核销）,（误报）,q.uid1 之源字段实为 member_id，与 x_agg.x_key = s.x_member 同族,无须处置
G-05,070,R03_player_dealer.csv,CLEARED（已核销）,（误报）,q.uid 之源字段实为 member_id，与 x_agg.x_key = s.x_member 同族,无须处置
G-05,071,R03b_player_dealer_daily.csv,CLEARED（已核销）,（误报）,q.uid 之源字段实为 member_id，与 x_agg.x_key = s.x_member 同族,无须处置
G-04,020,EV01_disposal_events.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,021,EV02_member_disposal.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,024,K01_risk_feature_matrix.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _alarm；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,026,K01b_seed_manual.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _alarm；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,028,L_label_dist.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _alarm；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,034,P02A_lmc_samples.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,035,P02B_changestatus_patterns.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,036,P02C_key_check.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,037,P02D_events_in_window.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,048,P12b_member_events.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,051,PH0_8r1_rg_case.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _pre_rg；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,052,PH0_8r2_rg_crosstable.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _pre_rg；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,053,PI01_treatment_delta_member.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
