__source_pk,dt,agent_id,code,gamelist_id,status,orders,source_db,source_table,ods_table_name,sync_time
104ad637ab69c69d851b889a8957ae9e,2026-07-23,47757,5031,487,1,1,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
2d71a572dc9fbf3a6252818bcb79d6b5,2026-07-23,47562,5031,488,0,2,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
6e56eca0ca1cd2971fa14962813f5806,2026-07-23,55656,5031,487,0,1,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
8a9e4e386495c870a7736e135e018539,2026-07-23,47562,5031,494,0,7,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
b90479d62033a29cacb13b1f058d67f1,2026-07-23,55656,5031,498,0,4,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
bc826dddbb01b9ee7824a3b8bf3a1723,2026-07-23,55656,5031,499,0,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
50988af924e12a7b68499c8d5d5bc6da,2026-07-23,47757,5031,497,1,10,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
5111503d57108da1ae9d63408336011f,2026-07-23,55656,5031,493,0,6,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
9325e376980fa8f4dec84ce32999a5ee,2026-07-23,47562,5031,492,0,13,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
a9538dfdce390814ab18fe4893a3a50e,2026-07-23,47757,5031,490,1,11,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
bd1d1e7cc90ba9a12435f9aa65e9353b,2026-07-23,47757,5031,496,1,9,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
03cebb4a82c5100189004763a034e601,2026-07-23,52171,5031,494,0,7,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
16a28556e134b69cc4d36daea341d236,2026-07-23,55656,5031,489,0,3,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
59aeb3b75d2b76e04e2a1daf0f10b9e1,2026-07-23,47757,5031,495,1,8,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
