__source_pk,dt,id,code,mid,gid,game_no,action,deal_id,type,trade_id,money,balance,status,remark,ops_token,create_at,update_at,source_db,source_table,ods_table_name,sync_time
c74d97b01eae257e44aa9d5bade97baf,2026-06-23,16,titan,151886344,101,101_114685546_24,PointInout,2680930978,2,7782,-10.0000,397.4400,1,,,2026-06-23 14:21:02,2026-06-23 14:21:02,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
c20ad4d76fe97759aa27a0c99bff6710,2026-06-22,12,titan,151886344,101,101_114684436_45,PointInout,2680268085,1,7588,19.5000,554.4800,1,,,2026-06-22 15:32:03,2026-06-22 15:32:03,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
6512bd43d9caa6e02c990b0a82652dca,2026-06-22,11,titan,151886344,101,101_114684436_45,PointInout,2680267822,2,7587,-10.0000,534.9800,1,,,2026-06-22 15:31:33,2026-06-22 15:31:33,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
45c48cce2e2d7fbdea1afc51c7c6ad26,2026-06-22,9,titan,151886344,101,101_114684436_45,PointInout,2680267767,2,7585,-20.0000,554.9800,1,,,2026-06-22 15:31:27,2026-06-22 15:31:27,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-23 07:23:19
d3d9446802a44259755d38e6d163e820,2026-06-22,10,titan,151886344,101,101_114684436_45,PointInout,2680267786,2,7586,-10.0000,544.9800,1,,,2026-06-22 15:31:30,2026-06-22 15:31:30,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
c51ce410c124a10e0db5e4b97fc2af39,2026-06-23,13,titan,151886344,101,101_114685531_36,PointInout,2680921948,2,7755,-20.0000,500.4100,1,,,2026-06-23 14:07:23,2026-06-23 14:07:23,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
9bf31c7ff062936a96d3c8bd1f8f2ff3,2026-06-23,15,titan,151886344,101,101_114685546_24,PointInout,2680930951,2,7781,-20.0000,407.4400,1,,,2026-06-23 14:21:01,2026-06-23 14:21:01,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
1679091c5a880faf6fb5e6087eb1b2dc,2025-07-04,6,ops,134104042,103,103_114199186_9,PointInout,2405884230,1,2507030000586033379,20.0000,66.2600,1,派彩成功,MHRO.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe8sy2b-0UrNqxKzxm66-kSLUzNUOqxhHK_OrPovkaPfW9iV7e7RMV3dHhDg4itAAgF1aBUHjchtsxo4U1_JS1v2PjypzpFTRk_Cjfg_5ThyxHKOrLGDKZji-vFCwLu7HsSeO9yP49qKwDpX5CpvlQV8rrnpIY3BUPN2brzKbzyyhm0KeHVYu09CAZTmtmJiMWO6VF98XX6mbmm1cMwlRNBc,2025-07-04 00:14:14,2025-07-04 00:14:14,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
8f14e45fceea167a5a36dedd4bea2543,2025-07-09,7,ops,134104042,108,108_114206286_30,PointInout,2410472468,2,2507090000604177638,-20.0000,79.0000,1,,1Wf9.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe9-F-SkB8KDH9UC1wPBlh8c0u4vCD-c0T1_TaXggPVIgTBkcn-klW-nYwIFHwxc9hgSQDC68pMoi1oHdx07-N2rVAD0FYsDI_wy_3tUWRecPlMpmVQFaCXtnHyxD1wM2B06H5VGbHZ_LqmpjyynKhVxoil80gaedHgHI1PYwGWXw6BkBX33AQgg8T8tNFZPEy_jf3dMOy29u1VrrokG9zx7,2025-07-09 18:26:30,2025-07-09 18:26:30,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
e4da3b7fbbce2345d7772b0674a318d5,2025-07-04,5,ops,134104042,103,103_114199186_9,PointInout,2405883487,2,2507030000586033379,-10.0000,46.2600,1,,MHRO.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe8sy2b-0UrNqxKzxm66-kSLUzNUOqxhHK_OrPovkaPfW9iV7e7RMV3dHhDg4itAAgF1aBUHjchtsxo4U1_JS1v2PjypzpFTRk_Cjfg_5ThyxHKOrLGDKZji-vFCwLu7HsSeO9yP49qKwDpX5CpvlQV8rrnpIY3BUPN2brzKbzyyhm0KeHVYu09CAZTmtmJiMWO6VF98XX6mbmm1cMwlRNBc,2025-07-04 00:13:11,2025-07-04 00:13:11,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
eccbc87e4b5ce2fe28308fd9f2a7baf3,2025-07-04,3,ops,134104042,104,104_114199184_11,PointInout,2405881188,2,2507030000586023750,-10.0000,56.2600,1,,04Md.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe88Sx4ur9b_4VbcWaWhUU0ltEkVWdmRLT2yAUm4ia7meHoPP6Vxf0kP07LpXBsfEbCIZEbPwbkVUiYtHOW6hTG2yXTYJdNp3x2F1gnsYDZZnCBn0QyLCWUosc5KgyNM3-DXWWWiHrffoZptrdui2bGa1e1bNqA27PhYIc9S5MeBG9m7EMLoKd_TYZ2p1bWVrShAik5Ww2DaRBlT3IJ7D7SU,2025-07-04 00:10:06,2025-07-04 00:10:06,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
c81e728d9d4c2f636f067f89cc14862c,2025-07-04,2,ops,134104042,104,104_114199184_10,PointInout,2405880778,1,2507030000586019465,0.0000,66.2600,1,派彩成功,04Md.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe88Sx4ur9b_4VbcWaWhUU0ltEkVWdmRLT2yAUm4ia7meHoPP6Vxf0kP07LpXBsfEbCIZEbPwbkVUiYtHOW6hTG2yXTYJdNp3x2F1gnsYDZZnCBn0QyLCWUosc5KgyNM3-DXWWWiHrffoZptrdui2bGa1e1bNqA27PhYIc9S5MeBG9m7EMLoKd_TYZ2p1bWVrShAik5Ww2DaRBlT3IJ7D7SU,2025-07-04 00:09:32,2025-07-04 00:09:32,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
aab3238922bcc25a6f606eb525ffdc56,2026-06-23,14,titan,151886344,101,101_114685531_36,PointInout,2680921962,2,7756,-10.0000,490.4100,1,,,2026-06-23 14:07:25,2026-06-23 14:07:25,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
a87ff679a2f3e71d9181a67b7542122c,2025-07-04,4,ops,134104042,104,104_114199184_11,PointInout,2405881528,1,2507030000586023750,0.0000,56.2600,1,派彩成功,04Md.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe88Sx4ur9b_4VbcWaWhUU0ltEkVWdmRLT2yAUm4ia7meHoPP6Vxf0kP07LpXBsfEbCIZEbPwbkVUiYtHOW6hTG2yXTYJdNp3x2F1gnsYDZZnCBn0QyLCWUosc5KgyNM3-DXWWWiHrffoZptrdui2bGa1e1bNqA27PhYIc9S5MeBG9m7EMLoKd_TYZ2p1bWVrShAik5Ww2DaRBlT3IJ7D7SU,2025-07-04 00:10:35,2025-07-04 00:10:35,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
c4ca4238a0b923820dcc509a6f75849b,2025-07-04,1,ops,134104042,104,104_114199184_10,PointInout,2405880289,2,2507030000586019465,-30.0000,66.7600,1,,04Md.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe88Sx4ur9b_4VbcWaWhUU0ltEkVWdmRLT2yAUm4ia7meHoPP6Vxf0kP07LpXBsfEbCIZEbPwbkVUiYtHOW6hTG2yXTYJdNp3x2F1gnsYDZZnCBn0QyLCWUosc5KgyNM3-DXWWWiHrffoZptrdui2bGa1e1bNqA27PhYIc9S5MeBG9m7EMLoKd_TYZ2p1bWVrShAik5Ww2DaRBlT3IJ7D7SU,2025-07-04 00:08:50,2025-07-04 00:08:50,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
c9f0f895fb98ab9159f51fd0297e236d,2025-07-09,8,ops,134104042,108,108_114206286_30,PointInout,2410472690,1,2507090000604177638,19.6000,98.6000,1,派彩成功,1Wf9.eQnMuLs91ilmPo-7274qP9Y2mY-lmXFb95vsCrN5Oe9-F-SkB8KDH9UC1wPBlh8c0u4vCD-c0T1_TaXggPVIgTBkcn-klW-nYwIFHwxc9hgSQDC68pMoi1oHdx07-N2rVAD0FYsDI_wy_3tUWRecPlMpmVQFaCXtnHyxD1wM2B06H5VGbHZ_LqmpjyynKhVxoil80gaedHgHI1PYwGWXw6BkBX33AQgg8T8tNFZPEy_jf3dMOy29u1VrrokG9zx7,2025-07-09 18:26:49,2025-07-09 18:26:49,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-05-19 18:53:37
70efdf2ec9b086079795c442636b55fb,2026-06-23,17,titan,151886344,101,101_114685546_24,PointInout,2680931211,1,7783,39.0000,436.4400,1,,,2026-06-23 14:21:21,2026-06-23 14:21:21,a168,aggregate_transaction,ods_a168_aggregate_transaction,2026-06-24 07:24:33
